stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778698024.804300,0,0.976257,0.912489,0.890824,0.8927,0.3378,1.2748,0.000,4.318,-143.865,0,0,61,202,123,136
1778698024.804300,1,0.991579,0.998735,0.990325,1.2083,-0.0386,1.3150,0.000,3.882,-174.540,0,0,318,207,84,110
1778698024.804300,2,0.940108,0.914754,0.859967,1.1503,-0.5103,1.3024,0.000,-11.516,161.546,0,0,565,209,107,111
1778698024.804300,0,0.978309,0.912489,0.892696,0.8927,0.3378,1.2748,0.000,4.647,-144.341,0,0,61,202,123,136
1778698024.804300,1,0.988506,0.998735,0.987256,1.2083,-0.0386,1.3150,0.000,3.854,-173.003,0,0,318,207,84,110
1778698024.804300,2,0.933849,0.914754,0.854242,1.1503,-0.5103,1.3024,0.000,-12.458,161.995,0,0,565,209,106,111
1778698024.904404,0,0.979545,0.912489,0.893824,0.8927,0.3378,1.2748,0.000,4.768,-144.667,0,0,61,201,123,136
1778698024.904404,1,0.988688,0.998735,0.987438,1.2043,-0.0386,1.3144,-0.000,3.063,-173.678,0,0,318,207,84,110
1778698024.904404,2,0.937485,0.914754,0.857568,1.1503,-0.5103,1.3024,0.000,-11.923,161.714,0,0,566,209,106,110
1778698024.904404,0,0.977905,0.912410,0.892251,0.8927,0.3378,1.2748,0.000,4.768,-144.667,0,0,61,201,123,135
1778698024.904404,1,0.988566,0.998735,0.987316,1.2043,-0.0386,1.3144,-0.000,3.063,-173.678,0,0,318,206,85,109
1778698024.904404,2,0.940798,0.914164,0.860043,1.1503,-0.5103,1.3024,0.000,-11.923,161.714,0,0,566,209,106,111
1778698025.138000,0,0.981129,0.912410,0.895192,0.8906,0.3369,1.2759,0.000,5.639,-144.911,0,0,61,201,123,135
1778698025.138000,1,0.990439,0.998554,0.989007,1.2079,-0.0386,1.3190,-0.000,2.773,-175.138,0,0,318,205,85,109
1778698025.138000,2,0.942940,0.914164,0.862002,1.1503,-0.5122,1.3024,0.000,-11.223,160.704,0,0,566,209,106,110
1778698025.138000,0,0.977656,0.912410,0.892023,0.8906,0.3369,1.2759,0.000,5.326,-143.969,0,0,61,201,123,135
1778698025.138000,1,0.989177,0.998554,0.987747,1.2079,-0.0386,1.3190,-0.000,3.638,-173.616,0,0,318,207,84,110
1778698025.138000,2,0.939427,0.914164,0.858790,1.1503,-0.5122,1.3024,0.000,-11.938,160.259,0,0,566,209,106,110
1778698025.238108,0,0.979726,0.912410,0.893912,0.8906,0.3369,1.2759,0.000,5.060,-144.651,0,0,61,201,123,137
1778698025.238108,1,0.987481,0.998735,0.986232,1.2043,-0.0386,1.3144,-0.000,1.992,-174.071,0,0,318,206,84,110
1778698025.238108,2,0.936150,0.914164,0.855794,1.1503,-0.5122,1.3024,-0.000,-12.297,161.100,0,0,566,209,106,110
1778698025.304846,0,0.979461,0.912410,0.893670,0.8906,0.3369,1.2759,0.000,5.534,-144.436,0,0,61,201,123,136
1778698025.304846,1,0.991811,0.998646,0.990468,1.2121,-0.0386,1.3176,0.000,4.188,-174.507,0,0,318,208,85,110
1778698025.304846,2,0.942775,0.914164,0.861851,1.1503,-0.5122,1.3024,0.000,-11.305,160.486,0,0,566,208,106,111
1778698025.371586,0,0.976556,0.912410,0.891019,0.8906,0.3369,1.2759,-0.000,5.325,-143.661,0,0,61,201,123,137
1778698025.371586,1,0.991326,0.998821,0.990158,1.2045,-0.0386,1.3124,-0.000,3.872,-174.327,0,0,318,207,84,110
1778698025.371586,2,0.941227,0.914101,0.860376,1.1501,-0.5122,1.3043,0.000,-11.430,160.711,0,0,566,209,106,111
1778698025.505062,0,0.977056,0.912410,0.891476,0.8906,0.3369,1.2759,-0.000,5.474,-143.761,0,0,61,201,122,137
1778698025.505062,1,0.991601,0.998821,0.990432,1.2045,-0.0386,1.3124,-0.000,4.555,-173.996,0,0,318,208,85,109
1778698025.505062,2,0.936116,0.914101,0.855704,1.1501,-0.5122,1.3043,0.000,-12.238,160.987,0,0,566,208,106,113
1778698025.505062,0,0.978302,0.912410,0.892612,0.8906,0.3369,1.2759,-0.000,5.474,-143.761,0,0,61,201,123,137
1778698025.505062,1,0.939160,0.914101,0.858487,1.2045,-0.0386,1.3124,-0.000,4.555,-173.996,0,0,566,208,106,111
1778698025.505062,2,0.990901,0.998735,0.989648,1.1501,-0.5122,1.3043,0.000,-12.238,160.987,0,0,318,207,84,110
1778698025.571723,0,0.976697,0.912410,0.891149,0.8906,0.3369,1.2759,0.000,5.072,-143.771,0,0,61,201,122,137
1778698025.571723,2,0.989474,0.998735,0.988223,1.2043,-0.0386,1.3144,0.000,3.753,-173.528,0,0,318,208,85,110
1778698025.571723,1,0.938419,0.914101,0.857810,1.1501,-0.5122,1.3043,0.000,-11.920,160.691,0,0,566,209,106,111
1778698025.571723,0,0.979120,0.912410,0.893359,0.8906,0.3369,1.2759,0.000,5.072,-143.771,0,0,61,201,123,136
1778698025.571723,1,0.992638,0.998821,0.991467,1.2043,-0.0386,1.3144,0.000,3.753,-173.528,0,0,318,208,84,107
1778698025.571723,2,0.939875,0.914164,0.859200,1.1501,-0.5122,1.3043,0.000,-11.920,160.691,0,0,565,209,105,111
1778698025.805308,0,0.976759,0.912410,0.891204,0.8906,0.3369,1.2759,0.000,5.018,-143.804,0,0,61,201,122,137
1778698025.805308,1,0.991157,0.998821,0.989989,1.2045,-0.0386,1.3124,-0.000,3.970,-174.160,0,0,318,208,85,109
1778698025.805308,2,0.939449,0.914164,0.858810,1.1503,-0.5122,1.3024,0.000,-11.791,160.876,0,0,566,209,106,111
1778698025.872065,0,0.977657,0.912410,0.892024,0.8906,0.3369,1.2759,0.000,4.773,-144.134,0,0,61,201,123,136
1778698025.872065,1,0.990465,0.998821,0.989297,1.2045,-0.0386,1.3124,-0.000,4.089,-173.717,0,0,318,208,84,110
1778698025.872065,2,0.936769,0.914754,0.856914,1.1542,-0.5120,1.3030,0.000,-11.844,162.383,0,0,565,209,107,111
1778698025.938802,0,0.977028,0.912410,0.891450,0.8906,0.3369,1.2759,-0.000,5.373,-143.780,0,0,61,201,122,136
1778698025.938802,1,0.991046,0.998735,0.989792,1.2043,-0.0386,1.3144,0.000,4.037,-174.124,0,0,318,207,84,110
1778698025.938802,2,0.945201,0.914164,0.864068,1.1503,-0.5122,1.3024,0.000,-10.699,161.152,0,0,566,209,106,111
1778698025.938802,0,0.977794,0.912410,0.892149,0.8906,0.3369,1.2759,-0.000,5.291,-144.018,0,0,61,201,123,136
1778698025.938802,1,0.991414,0.998735,0.990160,1.2043,-0.0386,1.3144,0.000,4.160,-174.232,0,0,318,208,84,110
1778698025.938802,2,0.944894,0.914164,0.863788,1.1503,-0.5122,1.3024,0.000,-10.697,161.355,0,0,565,209,105,111
1778698026.105649,0,0.976116,0.912410,0.890618,0.8906,0.3369,1.2759,0.000,5.095,-143.604,0,0,61,201,123,137
1778698026.105649,1,0.989275,0.998646,0.987935,1.2081,-0.0386,1.3170,0.000,3.332,-173.832,0,0,318,206,84,109
1778698026.105649,2,0.937552,0.914754,0.857629,1.1503,-0.5103,1.3024,0.000,-11.863,161.882,0,0,565,209,107,111
1778698026.172408,0,0.977550,0.912410,0.891926,0.8926,0.3378,1.2763,0.000,5.243,-143.962,0,0,61,201,123,137
1778698026.172408,1,0.991997,0.998821,0.990827,1.2045,-0.0386,1.3124,-0.000,4.559,-174.205,0,0,318,208,84,110
1778698026.172408,2,0.940242,0.914815,0.860148,1.1505,-0.5103,1.3005,-0.000,-11.451,162.001,0,0,565,210,106,115
1778698026.172408,0,0.977048,0.912410,0.891469,0.8926,0.3378,1.2763,0.000,5.489,-143.755,0,0,61,202,123,136
1778698026.172408,1,0.989061,0.998821,0.987895,1.2045,-0.0386,1.3124,0.000,3.403,-173.512,0,0,318,206,84,109
1778698026.172408,2,0.948490,0.914815,0.867693,1.1505,-0.5103,1.3005,0.000,-10.303,160.775,0,0,565,209,105,111
1778698026.339229,0,0.976636,0.912489,0.891170,0.8908,0.3369,1.2745,-0.000,5.493,-143.623,0,0,61,201,123,137
1778698026.339229,1,0.987127,0.998646,0.985791,1.2160,-0.0386,1.3182,-0.000,2.589,-173.410,0,0,318,206,86,107
1778698026.339229,2,0.948700,0.914815,0.867885,1.1505,-0.5103,1.3005,0.000,-10.253,160.817,0,0,565,210,105,113
1778698026.405965,0,0.977587,0.913001,0.892538,0.8906,0.3355,1.2759,0.000,5.567,-143.972,0,0,62,201,124,137
1778698026.405965,1,0.987378,0.998646,0.986042,1.2121,-0.0386,1.3176,-0.000,2.781,-173.362,0,0,318,206,84,109
1778698026.405965,2,0.933748,0.914754,0.854150,1.1503,-0.5103,1.3024,-0.000,-12.545,161.747,0,0,565,209,107,113
1778698026.472703,0,0.974326,0.913081,0.889638,0.8908,0.3355,1.2745,0.000,5.178,-143.166,0,0,62,202,124,136
1778698026.472703,1,0.986342,0.998744,0.985103,1.2123,-0.0366,1.3156,-0.000,3.065,-172.492,0,0,317,207,85,106
1778698026.472703,2,0.939119,0.914754,0.859063,1.1503,-0.5103,1.3024,0.000,-11.629,161.755,0,0,565,209,106,113
1778698026.539442,0,0.974226,0.913001,0.889470,0.8906,0.3355,1.2759,0.000,5.566,-143.060,0,0,62,201,124,137
1778698026.539442,1,0.991579,0.998821,0.990409,1.2045,-0.0386,1.3124,-0.000,4.027,-174.348,0,0,318,208,84,107
1778698026.539442,2,0.945013,0.914815,0.864513,1.1505,-0.5103,1.3005,0.000,-10.570,162.066,0,0,565,210,106,114
1778698026.639526,0,0.975556,0.913001,0.890684,0.8906,0.3355,1.2759,-0.000,5.352,-143.467,0,0,62,201,124,137
1778698026.639526,1,0.990718,0.998735,0.989465,1.2083,-0.0386,1.3150,-0.000,4.185,-173.847,0,0,318,207,84,110
1778698026.639526,2,0.947746,0.914874,0.867068,1.1507,-0.5103,1.2986,0.000,-10.584,160.582,0,0,565,211,106,114
1778698026.639526,0,0.974407,0.913001,0.889635,0.8906,0.3355,1.2759,-0.000,5.352,-143.467,0,0,62,201,124,137
1778698026.639526,1,0.991307,0.998735,0.990053,1.2083,-0.0386,1.3150,-0.000,4.185,-173.847,0,0,318,207,84,109
1778698026.639526,2,0.945204,0.914815,0.864687,1.1507,-0.5103,1.2986,0.000,-10.584,160.582,0,0,565,210,106,115
1778698026.772992,0,0.975146,0.913001,0.890309,0.8906,0.3355,1.2759,0.000,5.576,-143.301,0,0,62,201,124,137
1778698026.772992,1,0.992738,0.998821,0.991567,1.2085,-0.0386,1.3130,-0.000,4.176,-174.907,0,0,318,208,84,109
1778698026.772992,2,0.946160,0.915343,0.866061,1.1542,-0.5101,1.3030,0.000,-10.904,159.643,0,0,564,209,105,113
1778698026.839731,0,0.974177,0.913001,0.889425,0.8906,0.3355,1.2759,0.000,5.064,-143.176,0,0,62,201,124,137
1778698026.839731,1,0.991385,0.998735,0.990131,1.2043,-0.0386,1.3144,-0.000,3.787,-174.508,0,0,318,207,84,109
1778698026.839731,2,0.938722,0.914815,0.858758,1.1505,-0.5103,1.3005,0.000,-12.307,159.501,0,0,565,210,106,111
1778698026.839731,0,0.973893,0.913001,0.889166,0.8906,0.3355,1.2759,0.000,5.050,-143.104,0,0,62,201,124,137
1778698026.839731,1,0.991437,0.998735,0.990183,1.2043,-0.0386,1.3144,0.000,3.789,-174.536,0,0,318,206,84,109
1778698026.839731,2,0.942346,0.914815,0.862073,1.1505,-0.5103,1.3005,-0.000,-11.812,158.681,0,0,565,211,107,113
1778698026.839731,0,0.974395,0.913001,0.889624,0.8906,0.3355,1.2759,0.000,5.050,-143.104,0,0,62,201,124,136
1778698026.839731,1,0.992381,0.998646,0.991038,1.2043,-0.0386,1.3144,0.000,3.789,-174.536,0,0,318,206,84,109
1778698026.839731,2,0.938170,0.914874,0.858308,1.1505,-0.5103,1.3005,-0.000,-11.812,158.681,0,0,565,211,106,114
1778698027.006564,0,0.976086,0.913001,0.891168,0.8906,0.3355,1.2759,0.000,5.414,-143.595,0,0,62,201,124,137
1778698027.006564,1,0.991656,0.998646,0.990313,1.2121,-0.0386,1.3176,0.000,4.294,-174.338,0,0,318,206,84,109
1778698027.006564,2,0.944598,0.914874,0.864188,1.1507,-0.5103,1.2986,0.000,-10.914,161.501,0,0,565,210,106,113
1778698027.140041,0,0.973005,0.913001,0.888355,0.8906,0.3355,1.2759,0.000,5.242,-142.822,0,0,62,201,124,137
1778698027.140041,1,0.990035,0.998554,0.988604,1.2119,-0.0386,1.3196,0.000,2.809,-174.846,0,0,318,205,84,109
1778698027.140041,2,0.944496,0.915463,0.864652,1.1507,-0.5084,1.2986,0.000,-11.136,160.812,0,0,564,211,107,114
1778698027.140041,0,0.972649,0.913001,0.888030,0.8906,0.3355,1.2759,0.000,5.242,-142.822,0,0,62,201,124,139
1778698027.140041,1,0.987964,0.998655,0.986636,1.2119,-0.0386,1.3196,0.000,2.809,-174.846,0,0,317,206,85,107
1778698027.140041,2,0.939710,0.914815,0.859662,1.1507,-0.5084,1.2986,0.000,-11.136,160.812,0,0,565,210,107,113
1778698027.273518,0,0.972241,0.913081,0.887734,0.8908,0.3355,1.2745,-0.000,5.428,-142.566,0,0,62,202,124,137
1778698027.273518,1,0.988653,0.998735,0.987402,1.2043,-0.0386,1.3144,0.000,3.587,-173.254,0,0,318,207,84,107
1778698027.273518,2,0.940705,0.915463,0.861180,1.1507,-0.5084,1.2986,0.000,-11.478,162.021,0,0,564,211,107,111
1778698027.273518,0,0.974300,0.913081,0.889615,0.8908,0.3355,1.2745,0.000,5.396,-143.104,0,0,62,202,124,136
1778698027.273518,1,0.988406,0.998735,0.987155,1.2043,-0.0386,1.3144,0.000,3.620,-173.116,0,0,318,206,84,109
1778698027.273518,2,0.937083,0.915463,0.857865,1.1507,-0.5084,1.2986,0.000,-12.528,160.345,0,0,564,210,107,114
1778698027.440368,0,0.972565,0.913081,0.888031,0.8908,0.3355,1.2745,0.000,5.402,-142.654,0,0,62,202,124,137
1778698027.440368,1,0.990624,0.998735,0.989371,1.2083,-0.0386,1.3150,0.000,4.139,-173.830,0,0,318,207,84,110
1778698027.440368,2,0.938266,0.914874,0.858396,1.1507,-0.5103,1.2986,-0.000,-12.435,159.737,0,0,565,211,108,111
1778698027.440368,0,0.972823,0.913081,0.888266,0.8908,0.3355,1.2745,0.000,5.241,-142.759,0,0,62,201,124,139
1778698027.440368,1,0.992034,0.998735,0.990779,1.2083,-0.0386,1.3150,-0.000,3.680,-174.987,0,0,318,206,84,110
