stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778098484.708404,0,0.960017,0.729912,0.700729,1.1167,-0.1557,1.5561,0.000,7.173,-178.179,0,0,378,137,90,107
1778098484.708404,0,0.955430,0.730416,0.697862,1.1167,-0.1557,1.5561,0.000,7.173,-178.179,0,0,377,136,88,109
1778098484.741750,0,0.959048,0.729972,0.700078,1.1171,-0.1557,1.5542,0.000,6.346,-177.611,0,0,377,136,90,109
1778098484.808481,0,0.957918,0.729972,0.699253,1.1167,-0.1537,1.5561,0.000,7.161,-177.264,0,0,377,136,90,107
1778098484.808481,0,0.962768,0.729972,0.702794,1.1167,-0.1537,1.5561,0.000,7.161,-177.264,0,0,376,136,90,107
1778098484.875217,0,0.960898,0.729446,0.700923,1.1139,-0.1515,1.5550,0.000,8.085,-176.854,0,0,375,136,92,105
1778098484.908587,0,0.961022,0.729504,0.701069,1.1139,-0.1495,1.5550,-0.000,7.898,-177.085,0,0,375,136,92,106
1778098484.941957,0,0.960436,0.729504,0.700641,1.1139,-0.1495,1.5550,0.000,7.501,-177.493,0,0,374,135,92,105
1778098484.941957,0,0.958910,0.730420,0.700407,1.1139,-0.1495,1.5550,0.000,7.501,-177.493,0,0,374,136,92,106
1778098485.008696,0,0.960708,0.730147,0.701458,1.1167,-0.1479,1.5561,0.000,7.324,-177.808,0,0,374,136,90,106
1778098485.008696,0,0.956290,0.729561,0.697672,1.1167,-0.1479,1.5561,0.000,7.324,-177.808,0,0,373,136,92,107
1778098485.075434,0,0.955971,0.729618,0.697494,1.1139,-0.1456,1.5550,0.000,6.563,-177.122,0,0,373,137,92,106
1778098485.108803,0,0.955130,0.730122,0.697361,1.1143,-0.1456,1.5531,0.000,6.111,-177.423,0,0,372,137,92,106
1778098485.142172,0,0.953409,0.730178,0.696159,1.1143,-0.1437,1.5531,-0.000,6.068,-176.727,0,0,372,137,92,106
1778098485.175542,0,0.958377,0.730178,0.699786,1.1143,-0.1437,1.5531,0.000,7.013,-177.035,0,0,371,136,92,106
1778098485.208910,0,0.959620,0.730315,0.700825,1.1167,-0.1420,1.5561,-0.000,7.174,-177.324,0,0,371,136,92,107
1778098485.208910,0,0.960334,0.730315,0.701347,1.1167,-0.1420,1.5561,-0.000,7.174,-177.324,0,0,371,136,90,107
1778098485.242280,0,0.957430,0.730315,0.699226,1.1167,-0.1420,1.5561,0.000,7.852,-176.497,0,0,370,136,90,107
1778098485.275651,0,0.956439,0.730370,0.698555,1.1167,-0.1420,1.5561,0.000,7.529,-175.920,0,0,370,136,90,107
1778098485.309021,0,0.958929,0.731149,0.701120,1.1167,-0.1400,1.5561,0.000,6.770,-176.654,0,0,369,136,88,107
1778098485.375758,0,0.958607,0.730424,0.700189,1.1167,-0.1381,1.5561,0.000,7.634,-175.988,0,0,369,136,92,107
1778098485.409127,0,0.956993,0.730424,0.699011,1.1167,-0.1381,1.5561,0.000,7.143,-176.153,0,0,369,136,92,105
1778098485.442497,0,0.958452,0.731203,0.700823,1.1205,-0.1385,1.5576,-0.000,7.755,-175.753,0,0,369,136,90,107
1778098485.475864,0,0.958123,0.731203,0.700582,1.1205,-0.1385,1.5576,-0.000,7.607,-175.853,0,0,368,137,88,106
1778098485.509233,0,0.958040,0.731762,0.701057,1.1209,-0.1365,1.5557,0.000,7.474,-175.779,0,0,368,137,88,106
1778098485.509233,0,0.961888,0.731762,0.703873,1.1209,-0.1365,1.5557,0.000,7.474,-175.779,0,0,368,136,90,107
1778098485.575974,0,0.960732,0.731256,0.702541,1.1205,-0.1365,1.5576,0.000,7.825,-176.391,0,0,368,136,90,109
1778098485.575974,0,0.958356,0.732032,0.701547,1.1205,-0.1365,1.5576,0.000,7.825,-176.391,0,0,368,137,90,109
1778098485.609344,0,0.960495,0.732539,0.703599,1.1243,-0.1369,1.5591,0.000,7.940,-175.353,0,0,368,137,90,107
1778098485.642713,0,0.957390,0.732539,0.701325,1.1247,-0.1369,1.5571,0.000,7.414,-176.808,0,0,368,137,90,109
1778098485.709468,0,0.956690,0.732539,0.700812,1.1247,-0.1369,1.5571,0.000,7.726,-174.951,0,0,368,138,90,107
1778098485.742837,0,0.955199,0.733046,0.700205,1.1250,-0.1369,1.5552,0.000,7.486,-174.656,0,0,368,139,90,106
1778098485.776206,0,0.950482,0.733553,0.697229,1.1254,-0.1369,1.5533,-0.000,6.322,-174.610,0,0,367,138,88,105
1778098485.776206,0,0.951128,0.733679,0.697823,1.1254,-0.1369,1.5533,-0.000,6.322,-174.610,0,0,367,139,88,105
1778098485.809575,0,0.948954,0.733679,0.696228,1.1279,-0.1352,1.5563,-0.000,6.703,-174.315,0,0,367,139,88,103
1778098485.876314,0,0.950026,0.734188,0.697498,1.1283,-0.1352,1.5544,0.000,6.671,-173.887,0,0,367,139,88,105
1778098485.909681,0,0.949661,0.734188,0.697230,1.1283,-0.1352,1.5544,0.000,6.954,-173.414,0,0,368,140,90,106
1778098485.909681,0,0.948476,0.734643,0.696791,1.1283,-0.1352,1.5544,0.000,6.954,-173.414,0,0,368,140,90,106
1778098485.976405,0,0.946172,0.734643,0.695098,1.1287,-0.1372,1.5524,0.000,6.320,-173.182,0,0,368,139,90,105
1778098485.976405,0,0.948458,0.734134,0.696295,1.1287,-0.1372,1.5524,0.000,6.320,-173.182,0,0,368,140,88,106
1778098486.043143,0,0.947002,0.734643,0.695708,1.1287,-0.1372,1.5524,-0.000,6.459,-173.244,0,0,368,139,90,105
1778098486.076512,0,0.948436,0.734906,0.697011,1.1321,-0.1375,1.5558,0.000,6.793,-173.359,0,0,368,140,88,106
1778098486.109873,0,0.944605,0.735415,0.694676,1.1325,-0.1375,1.5539,0.000,6.811,-172.164,0,0,368,140,88,105
1778098486.143251,0,0.943570,0.735415,0.693915,1.1325,-0.1375,1.5539,0.000,6.263,-172.527,0,0,368,140,88,106
1778098486.143251,0,0.945121,0.735415,0.695056,1.1325,-0.1375,1.5539,0.000,6.263,-172.527,0,0,368,139,88,105
1778098486.209970,0,0.947702,0.735674,0.697199,1.1358,-0.1379,1.5573,0.000,6.863,-173.061,0,0,368,140,88,103
1778098486.243340,0,0.945643,0.736184,0.696167,1.1362,-0.1379,1.5553,-0.000,5.946,-173.512,0,0,369,140,90,105
1778098486.276708,0,0.941534,0.735361,0.692367,1.1325,-0.1395,1.5539,-0.000,5.766,-172.684,0,0,369,140,90,106
1778098486.310077,0,0.938464,0.735361,0.690110,1.1325,-0.1395,1.5539,-0.000,5.573,-172.102,0,0,368,140,88,103
1778098486.343446,0,0.941619,0.736184,0.693205,1.1362,-0.1379,1.5553,0.000,5.911,-172.426,0,0,368,141,88,102
1778098486.376811,0,0.944919,0.736694,0.696116,1.1366,-0.1379,1.5534,-0.000,5.889,-173.251,0,0,369,140,90,103
1778098486.410174,0,0.944618,0.736129,0.695361,1.1362,-0.1399,1.5553,0.000,5.652,-173.705,0,0,369,139,90,105
1778098486.443532,0,0.947924,0.735619,0.697311,1.1358,-0.1399,1.5573,0.000,6.396,-173.817,0,0,369,139,88,105
1778098486.476901,0,0.946144,0.735619,0.696002,1.1358,-0.1399,1.5573,0.000,5.686,-174.251,0,0,369,140,90,106
1778098486.476901,0,0.945464,0.736129,0.695984,1.1358,-0.1399,1.5573,0.000,5.686,-174.251,0,0,369,139,90,105
1778098486.510264,0,0.946780,0.735619,0.696470,1.1362,-0.1399,1.5553,-0.000,5.586,-174.050,0,0,369,139,90,105
1778098486.543640,0,0.946664,0.735619,0.696384,1.1358,-0.1399,1.5573,0.000,6.125,-173.836,0,0,369,139,90,105
1778098486.610378,0,0.947150,0.735619,0.696741,1.1358,-0.1399,1.5573,0.000,5.473,-174.883,0,0,369,139,90,105
1778098486.643741,0,0.947270,0.735619,0.696830,1.1358,-0.1399,1.5573,0.000,5.813,-174.419,0,0,369,139,90,105
1778098486.677110,0,0.946464,0.735619,0.696237,1.1358,-0.1399,1.5573,0.000,6.143,-173.719,0,0,369,140,90,103
1778098486.710479,0,0.947817,0.736129,0.697716,1.1362,-0.1399,1.5553,-0.000,5.954,-174.255,0,0,369,139,90,103
1778098486.743848,0,0.948662,0.735619,0.697854,1.1358,-0.1399,1.5573,0.000,5.930,-174.692,0,0,369,140,90,105
1778098486.777218,0,0.948247,0.736129,0.698032,1.1362,-0.1399,1.5553,0.000,6.305,-173.909,0,0,368,140,88,105
1778098486.810587,0,0.948014,0.736184,0.697912,1.1362,-0.1379,1.5553,0.000,5.833,-174.386,0,0,368,140,90,103
1778098486.810587,0,0.948113,0.736948,0.698710,1.1362,-0.1379,1.5553,0.000,5.833,-174.386,0,0,368,140,90,106
1778098486.843945,0,0.948839,0.736184,0.698520,1.1400,-0.1383,1.5568,-0.000,6.116,-174.021,0,0,368,139,90,105
1778098486.877314,0,0.950735,0.736438,0.700157,1.1362,-0.1379,1.5553,0.000,6.140,-174.213,0,0,367,140,88,106
1778098486.944040,0,0.952310,0.736237,0.701126,1.1362,-0.1359,1.5553,0.000,6.945,-174.104,0,0,367,139,90,106
1778098486.944040,0,0.949898,0.735727,0.698866,1.1362,-0.1359,1.5553,0.000,6.945,-174.104,0,0,366,139,92,106
1778098486.977409,0,0.947879,0.735780,0.697431,1.1358,-0.1359,1.5573,0.000,6.752,-173.742,0,0,366,139,90,107
1778098487.044161,0,0.954580,0.735780,0.702361,1.1358,-0.1339,1.5573,-0.000,7.478,-174.142,0,0,366,139,90,106
1778098487.077531,0,0.951494,0.735780,0.700091,1.1358,-0.1339,1.5573,-0.000,6.961,-173.854,0,0,365,139,90,106
1778098487.110900,0,0.949687,0.735832,0.698810,1.1358,-0.1320,1.5573,0.000,7.016,-173.142,0,0,364,138,88,107
1778098487.110900,0,0.939970,0.735373,0.691229,1.1358,-0.1320,1.5573,0.000,7.016,-173.142,0,0,363,139,88,106
1778098487.177641,0,0.935831,0.735934,0.688710,1.1358,-0.1280,1.5573,-0.000,5.725,-170.756,0,0,363,138,88,105
1778098487.177641,0,0.940801,0.735424,0.691888,1.1358,-0.1280,1.5573,-0.000,5.725,-170.756,0,0,363,139,90,107
1778098487.244383,0,0.941450,0.735934,0.692845,1.1358,-0.1280,1.5573,0.000,6.653,-171.120,0,0,362,140,90,106
1778098487.277752,0,0.940591,0.736495,0.692740,1.1362,-0.1260,1.5553,-0.000,6.173,-171.235,0,0,362,139,90,107
1778098487.311122,0,0.944291,0.735984,0.694983,1.1358,-0.1260,1.5573,0.000,7.382,-170.950,0,0,361,139,90,106
1778098487.344491,0,0.945227,0.736033,0.695718,1.1358,-0.1240,1.5573,0.000,7.427,-171.040,0,0,360,139,88,107
1778098487.344491,0,0.944870,0.736081,0.695501,1.1358,-0.1240,1.5573,0.000,7.427,-171.040,0,0,360,139,90,107
1778098487.411229,0,0.943939,0.736081,0.694816,1.1358,-0.1220,1.5573,0.000,7.276,-170.768,0,0,359,139,88,106
1778098487.444595,0,0.945796,0.736894,0.696952,1.1396,-0.1203,1.5587,-0.000,7.778,-170.613,0,0,358,139,88,103
1778098487.477962,0,0.944059,0.736941,0.695716,1.1396,-0.1183,1.5587,-0.000,6.977,-170.921,0,0,358,139,90,102
1778098487.511341,0,0.943112,0.736175,0.694296,1.1358,-0.1180,1.5573,-0.000,7.212,-170.421,0,0,357,139,88,102
1778098487.544666,0,0.951094,0.736987,0.700945,1.1396,-0.1163,1.5587,0.000,7.458,-172.197,0,0,357,138,90,105
1778098487.578030,0,0.950531,0.736476,0.700043,1.1392,-0.1163,1.5607,0.000,7.317,-172.319,0,0,356,138,90,103
1778098487.611394,0,0.955492,0.736521,0.703740,1.1392,-0.1144,1.5607,0.000,7.876,-173.025,0,0,355,139,90,102
1778098487.644763,0,0.956039,0.737650,0.705222,1.1425,-0.1126,1.5598,0.000,7.684,-173.223,0,0,354,138,90,102
1778098487.644763,0,0.951656,0.737181,0.701543,1.1425,-0.1126,1.5598,0.000,7.684,-173.223,0,0,353,138,90,103
1778098487.711501,0,0.955966,0.737224,0.704761,1.1421,-0.1086,1.5618,0.000,7.793,-172.975,0,0,352,138,88,103
1778098487.711501,0,0.954887,0.738026,0.704731,1.1421,-0.1086,1.5618,0.000,7.793,-172.975,0,0,351,139,90,102
1778098487.778240,0,0.953484,0.737821,0.703500,1.1425,-0.1046,1.5598,0.000,7.017,-172.882,0,0,350,139,90,102
1778098487.811608,0,0.953234,0.738622,0.704079,1.1463,-0.1028,1.5613,0.000,7.154,-172.513,0,0,349,139,88,103
1778098487.844963,0,0.952191,0.738662,0.703347,1.1463,-0.1008,1.5613,-0.000,6.852,-172.487,0,0,349,138,90,105
1778098487.844963,0,0.954116,0.738905,0.705002,1.1463,-0.1008,1.5613,-0.000,6.852,-172.487,0,0,348,139,90,105
1778098487.911698,0,0.953353,0.738702,0.704243,1.1463,-0.0988,1.5613,0.000,7.886,-171.425,0,0,348,140,90,103
1778098487.945067,0,0.952726,0.739216,0.704270,1.1467,-0.0988,1.5593,-0.000,7.982,-171.024,0,0,347,141,88,103
1778098487.945067,0,0.952852,0.740528,0.705613,1.1467,-0.0988,1.5593,-0.000,7.982,-171.024,0,0,347,141,90,103
1778098487.978437,0,0.954078,0.739769,0.705797,1.1508,-0.0970,1.5588,0.000,7.413,-171.515,0,0,346,140,88,105
1778098488.011798,0,0.952215,0.740051,0.704687,1.1471,-0.0968,1.5573,-0.000,8.040,-171.138,0,0,346,141,88,103
