timestamp,u,v,w,h,latency_ms,frame_drop
1779405096.94742,350,132,104,104,1.78,0.0
1779405097.049222,340,130,107,107,0.56,0.0
1779405097.1472425,338,134,95,95,0.3,0.0
1779405097.2472425,334,129,100,100,0.29,0.0
1779405097.3472154,335,132,104,104,1.18,0.0
1779405097.4484708,334,128,97,97,3.56,0.0
1779405097.5472338,334,127,98,98,0.49,0.0
1779405097.6472285,336,132,101,101,0.46,0.0
1779405097.7497873,338,126,97,97,0.54,0.0
1779405097.847195,337,134,98,98,0.52,0.0
1779405097.9472146,340,138,99,99,0.43,0.0
1779405098.047218,338,138,99,99,0.59,0.0
1779405098.1472192,338,132,94,94,0.39,0.0
1779405098.247221,339,133,98,98,0.36,0.0
1779405098.3472357,338,134,99,99,5.3,0.0
1779405098.4472184,339,133,92,92,0.7,0.0
1779405098.5472217,338,132,95,95,0.41,0.0
1779405098.6472094,340,134,99,99,0.32,0.0
1779405098.7472086,341,132,96,96,0.43,0.0
1779405098.8472316,343,132,96,96,0.64,0.0
1779405098.9472067,342,130,95,95,0.66,0.0
1779405099.0472198,343,131,98,98,0.63,0.0
1779405099.1472168,344,131,96,96,0.33,0.0
1779405099.2471976,344,132,97,97,0.49,0.0
1779405099.3472157,346,133,98,98,0.62,0.0
1779405099.4472113,346,136,97,97,0.72,0.0
1779405099.5472095,347,138,98,98,0.68,0.0
1779405099.6471932,346,138,97,97,0.65,0.0
1779405099.747211,348,138,97,97,0.45,0.0
1779405099.8472016,346,139,98,98,0.42,0.0
1779405099.9472172,346,138,99,99,0.61,0.0
1779405100.0472264,348,139,98,98,0.45,0.0
1779405100.1472006,347,139,98,98,0.43,0.0
1779405100.2472153,346,138,99,99,0.5,0.0
1779405100.3472207,347,138,98,98,0.44,0.0
1779405100.4472456,348,140,99,99,1.39,0.0
1779405100.547241,348,138,99,99,0.39,0.0
1779405100.6472402,348,137,98,98,0.4,0.0
1779405100.7472444,348,139,100,100,4.58,0.0
1779405100.847214,350,138,100,100,0.58,0.0
1779405100.9472167,350,138,97,97,0.37,0.0
1779405101.0472095,351,140,98,98,0.33,0.0
1779405101.147208,350,140,97,97,0.53,0.0
1779405101.2472281,348,142,99,99,0.52,0.0
1779405101.3472254,350,140,97,97,0.5,0.0
1779405101.4472108,349,139,98,98,0.56,0.0
1779405101.547198,350,140,99,99,0.52,0.0
1779405101.6471612,350,140,99,99,0.56,0.0
1779405101.747227,349,139,98,98,0.54,0.0
1779405101.8472092,348,138,98,98,1.1,0.0
1779405101.9471934,348,138,97,97,0.33,0.0
1779405102.0472126,348,138,97,97,0.56,0.0
1779405102.1471975,348,138,97,97,0.56,0.0
1779405102.247201,346,137,96,96,0.38,0.0
1779405102.347196,348,138,96,96,0.53,0.0
1779405102.4472075,346,136,99,99,0.31,0.0
1779405102.547195,347,137,96,96,0.35,0.0
1779405102.6472194,348,136,95,95,0.33,0.0
1779405102.7472148,348,137,98,98,0.41,0.0
1779405102.847207,349,138,98,98,0.75,0.0
1779405102.9472387,348,139,98,98,0.37,0.0
1779405103.047209,347,136,96,96,0.31,0.0
1779405103.147207,347,139,96,96,0.34,0.0
1779405103.2472045,348,138,97,97,0.52,0.0
1779405103.3472202,348,138,95,95,1.29,0.0
1779405103.4472177,347,138,96,96,3.32,0.0
1779405103.5472207,347,137,96,96,0.33,0.0
1779405103.6472178,349,136,96,96,0.56,0.0
1779405103.747226,348,134,97,97,0.47,0.0
1779405103.847219,348,134,103,103,0.64,0.0
1779405103.9472156,344,128,101,101,0.57,0.0
1779405104.0472205,336,120,93,93,0.62,0.0
1779405104.1472223,330,122,95,95,0.54,0.0
1779405104.2472155,322,128,103,103,0.37,0.0
1779405104.3472118,320,126,99,99,0.32,0.0
1779405104.4472106,324,128,103,103,3.45,0.0
1779405104.547221,330,125,98,98,0.41,0.0
1779405104.6471574,338,124,99,99,0.57,0.0
1779405104.747262,352,127,108,108,0.55,0.0
1779405104.8472345,360,126,101,101,0.61,0.0
1779405104.947194,367,124,100,100,0.63,0.0
1779405105.0472014,374,122,100,100,0.57,0.0
1779405105.1472251,378,118,100,100,0.59,0.0
1779405105.2472253,375,121,104,104,0.62,0.0
1779405105.3472185,373,125,94,94,0.34,0.0
1779405105.4472287,376,124,101,101,0.32,0.0
1779405105.547223,374,124,99,99,0.74,0.0
1779405105.6472244,374,120,95,95,0.37,0.0
1779405105.7472231,372,124,93,93,0.56,0.0
