timestamp,u,v,w,h,latency_ms,frame_drop
1779315989.4436467,,,,,,0.0
1779315989.5435822,332,149,72,58,700.38,0.0
1779315989.6435826,332,150,73,56,754.77,0.0
1779315989.7435513,333,150,70,56,799.24,0.0
1779315989.8435633,333,151,72,56,803.46,0.0
1779315989.9449825,332,148,67,58,833.37,0.0
1779315990.0435724,332,152,70,58,822.68,0.0
1779315990.1435845,332,155,68,56,872.7,0.0
1779315990.2436042,332,150,67,58,905.33,0.0
1779315990.3435655,332,150,66,56,841.21,0.0
1779315990.443573,332,151,66,56,883.1,0.0
1779315990.543558,331,154,67,54,838.32,0.0
1779315990.6435633,330,153,67,56,847.72,0.0
1779315990.7435572,329,153,66,58,890.46,0.0
1779315990.8435564,329,153,67,58,897.46,0.0
1779315990.9435732,329,154,67,56,955.84,0.0
1779315991.043569,329,154,67,58,989.39,0.0
1779315991.1435664,327,153,67,56,915.79,0.0
1779315991.2435648,327,153,67,56,956.56,0.0
1779315991.343564,328,152,70,58,941.54,0.0
1779315991.443563,327,153,68,56,890.55,0.0
1779315991.5435593,327,153,67,56,848.07,0.0
1779315991.643562,327,153,67,56,834.64,0.0
1779315991.74357,328,153,67,56,839.39,0.0
1779315991.8435628,329,153,66,56,817.2,0.0
1779315991.9435704,330,154,67,56,758.8,0.0
1779315992.0435815,330,153,67,56,810.95,0.0
1779315992.1435459,330,154,67,56,781.62,0.0
1779315992.243568,330,155,66,56,808.04,0.0
1779315992.3435674,330,155,67,56,866.19,0.0
1779315992.443564,331,156,70,54,890.19,0.0
1779315992.543575,332,156,70,56,824.08,0.0
1779315992.6435707,331,156,68,56,867.64,0.0
1779315992.7436032,332,156,68,56,932.1,0.0
1779315992.8435562,332,156,68,56,994.98,0.0
1779315992.9435394,332,155,68,56,1039.98,0.0
1779315993.043572,332,150,68,56,960.24,0.0
1779315993.1435735,333,149,66,54,773.83,0.0
1779315993.2435176,333,151,67,54,803.45,0.0
1779315993.3435822,333,150,67,56,841.92,0.0
1779315993.4435756,333,150,66,56,848.14,0.0
1779315993.54356,333,151,67,54,843.73,0.0
1779315993.6435544,334,151,65,52,834.68,0.0
1779315993.743555,334,151,67,52,898.77,0.0
1779315993.843546,334,151,65,54,855.7,0.0
1779315993.9435642,335,151,66,54,888.84,0.0
1779315994.0435488,334,152,67,54,878.41,0.0
1779315994.1435335,334,152,67,56,831.83,0.0
1779315994.24489,335,152,66,52,773.74,0.0
1779315994.3435628,334,152,67,54,701.38,0.0
1779315994.4450362,336,152,66,54,721.02,0.0
1779315994.5440845,335,151,66,56,714.48,0.0
1779315994.6435642,335,152,67,56,755.88,0.0
1779315994.74355,335,152,67,54,759.53,0.0
1779315994.8435462,335,152,67,56,832.37,0.0
1779315994.9435802,336,153,66,54,839.26,0.0
1779315995.0435767,336,151,66,56,821.04,0.0
1779315995.143564,337,152,66,56,869.76,0.0
1779315995.2435615,337,152,66,54,827.14,0.0
1779315995.3435516,337,153,67,56,841.75,0.0
1779315995.4435709,337,153,66,54,878.74,0.0
1779315995.5435698,338,153,66,52,751.57,0.0
1779315995.643576,339,155,66,52,849.37,0.0
1779315995.7435722,340,155,66,54,781.26,0.0
1779315995.8435652,338,156,67,50,838.74,0.0
1779315995.9436085,335,158,63,52,729.67,0.0
1779315996.0435715,334,156,62,50,759.59,0.0
1779315996.1435702,333,156,63,50,797.61,0.0
1779315996.2435756,332,156,63,52,878.79,0.0
1779315996.3435667,330,155,65,52,868.8,0.0
1779315996.4435613,331,154,64,54,923.12,0.0
1779315996.5435534,336,156,66,54,868.85,0.0
1779315996.6435695,336,156,66,56,915.2,0.0
1779315996.7435806,341,156,66,52,895.3,0.0
1779315996.8435686,344,156,65,50,878.87,0.0
1779315996.9435475,347,161,65,54,896.27,0.0
1779315997.043584,348,159,65,52,873.19,0.0
1779315997.1435757,347,160,65,54,808.89,0.0
1779315997.24357,346,159,66,54,853.1,0.0
1779315997.3435636,339,159,65,52,790.48,0.0
1779315997.443562,338,159,66,52,822.79,0.0
1779315997.5435593,332,159,67,54,809.51,0.0
1779315997.6435618,329,158,66,54,794.64,0.0
1779315997.7435699,327,158,65,54,824.62,0.0
1779315997.843576,326,160,64,54,886.67,0.0
1779315997.9435573,323,157,66,56,803.11,0.0
1779315998.0435748,322,155,65,56,788.08,0.0
1779315998.1435266,322,157,65,56,814.48,0.0
