timestamp,u,v,w,h,latency_ms,frame_drop
1779405097.0182126,,,,,,0.0
1779405097.1182075,406,127,89,80,1022.1,0.0
1779405097.2182207,407,126,89,80,1065.93,0.0
1779405097.318214,408,125,89,80,972.7,0.0
1779405097.4182222,409,124,90,80,1048.16,0.0
1779405097.5182326,408,123,90,80,965.07,0.0
1779405097.6182277,407,122,90,80,954.29,0.0
1779405097.7182126,405,121,90,79,925.42,0.0
1779405097.818225,403,120,91,79,982.06,0.0
1779405097.9182303,402,119,91,79,888.95,0.0
1779405098.0182252,400,119,91,78,922.93,0.0
1779405098.1182177,398,118,91,78,953.13,0.0
1779405098.2182343,394,117,92,77,908.09,0.0
1779405098.3183303,392,116,92,77,941.14,0.0
1779405098.4182293,390,115,92,76,944.47,0.0
1779405098.5182188,388,115,92,76,1000.96,0.0
1779405098.6182225,387,114,93,76,1058.55,0.0
1779405098.7183285,385,114,93,75,1005.82,0.0
1779405098.818234,382,113,93,75,1043.58,0.0
1779405098.9182355,380,113,93,74,987.65,0.0
1779405099.0182214,377,112,93,74,1033.37,0.0
1779405099.1182313,377,112,93,74,1033.37,0.0
1779405099.2182224,376,111,93,73,958.22,0.0
1779405099.3182256,374,111,93,73,1038.6,0.0
1779405099.418216,373,111,93,72,1094.75,0.0
1779405099.5182264,372,110,93,72,1060.57,0.0
1779405099.6182177,370,110,92,72,1107.27,0.0
1779405099.721781,368,110,92,71,1025.42,0.0
1779405099.8182256,367,109,92,71,1073.75,0.0
1779405099.921784,366,109,91,70,1141.03,0.0
1779405100.0182092,364,109,91,70,1098.51,0.0
1779405100.1182327,363,109,91,70,1119.39,0.0
1779405100.2182314,362,109,91,69,978.9,0.0
1779405100.3182306,361,109,90,69,992.17,0.0
1779405100.4182239,360,109,90,69,876.93,0.0
1779405100.5182252,359,109,90,69,948.69,0.0
1779405100.6182182,358,109,91,69,854.7,0.0
1779405100.718241,358,109,91,69,854.7,0.0
1779405100.8182445,356,109,91,69,951.1,0.0
1779405100.9182389,356,109,91,69,951.1,0.0
1779405101.0182545,355,109,91,69,1013.93,0.0
1779405101.1182127,354,109,91,69,1051.73,0.0
1779405101.218208,353,109,91,70,1025.02,0.0
1779405101.3182166,353,109,91,70,1025.02,0.0
1779405101.4182255,352,109,91,69,1103.23,0.0
1779405101.518237,351,108,91,69,1058.92,0.0
1779405101.6182182,351,108,91,69,1137.64,0.0
1779405101.7182112,350,108,91,69,1209.35,0.0
1779405101.818218,350,108,91,69,1122.71,0.0
1779405101.9182355,349,108,91,69,1199.54,0.0
1779405102.0184925,349,109,91,69,1217.95,0.0
1779405102.1182177,348,108,91,69,1129.04,0.0
1779405102.2182124,348,109,90,69,1184.51,0.0
1779405102.3182213,347,109,90,69,1258.58,0.0
1779405102.418228,346,109,90,69,1232.04,0.0
1779405102.5182128,346,109,90,69,1270.19,0.0
1779405102.6181989,346,109,89,69,1065.23,0.0
1779405102.718214,345,110,89,69,1044.97,0.0
1779405102.818218,345,110,89,69,935.0,0.0
1779405102.9181995,345,110,89,69,987.75,0.0
1779405103.0182104,344,110,89,69,1015.21,0.0
1779405103.1182103,344,110,89,69,897.69,0.0
1779405103.2181933,344,111,89,69,978.58,0.0
1779405103.3182075,343,111,89,69,888.37,0.0
1779405103.4181957,343,111,89,69,933.27,0.0
1779405103.518208,343,111,89,69,980.5,0.0
1779405103.6182263,343,111,89,69,947.41,0.0
1779405103.7181976,343,112,89,69,977.13,0.0
1779405103.8182101,342,112,89,69,954.38,0.0
1779405103.9182112,342,112,89,69,838.66,0.0
1779405104.018223,342,112,89,69,867.23,0.0
1779405104.1182666,342,113,89,69,793.02,0.0
1779405104.2182024,342,113,89,69,817.9,0.0
1779405104.3182034,342,113,90,70,773.94,0.0
1779405104.4182227,342,113,90,70,833.52,0.0
1779405104.5182223,342,113,90,70,861.65,0.0
1779405104.6182253,341,113,90,70,820.62,0.0
1779405104.7182133,341,113,89,70,850.5,0.0
1779405104.8182244,341,112,89,70,845.07,0.0
1779405104.918218,340,112,89,71,802.64,0.0
1779405105.0182137,339,111,89,71,826.37,0.0
1779405105.1182356,338,111,89,71,872.03,0.0
1779405105.2182117,337,110,89,71,814.11,0.0
1779405105.3182178,337,110,89,71,859.27,0.0
1779405105.4182098,336,110,89,71,824.33,0.0
1779405105.518211,336,109,89,71,884.82,0.0
1779405105.6182234,337,109,90,71,844.8,0.0
1779405105.7182274,337,108,90,71,873.59,0.0
1779405105.8182216,339,108,90,72,868.96,0.0
1779405105.9182074,340,107,90,72,914.94,0.0
1779405106.0182092,341,107,91,72,952.07,0.0
1779405106.1182039,342,106,91,72,855.63,0.0
1779405106.2182553,342,106,91,73,928.71,0.0
1779405106.3182323,343,105,91,73,1009.47,0.0
1779405106.4182293,344,105,92,73,940.69,0.0
1779405106.518234,345,105,92,73,1001.91,0.0
1779405106.6217642,347,104,92,74,994.91,0.0
1779405106.718232,348,104,92,74,1061.5,0.0
1779405106.8182461,348,104,93,74,1097.86,0.0
1779405106.9182382,349,103,93,74,1140.78,0.0
1779405107.0182402,350,103,93,74,1048.18,0.0
1779405107.1182318,351,103,93,74,1099.21,0.0
1779405107.2182262,352,103,93,74,936.11,0.0
1779405107.318211,353,102,93,74,991.14,0.0
1779405107.4217775,354,102,93,74,889.38,0.0
1779405107.5182352,354,102,93,74,951.87,0.0
1779405107.6182237,355,102,93,74,1001.8,0.0
1779405107.7182047,355,102,93,74,928.96,0.0
1779405107.821789,356,102,93,74,989.08,0.0
1779405107.9182055,356,102,93,74,1056.74,0.0
1779405108.01822,357,102,93,74,972.04,0.0
1779405108.118228,357,102,93,73,1025.65,0.0
1779405108.2217834,358,102,94,73,1017.31,0.0
1779405108.318203,359,102,93,73,1065.47,0.0
1779405108.418203,359,102,94,72,1093.72,0.0
1779405108.5182185,360,102,94,72,1015.71,0.0
1779405108.6182406,361,102,94,71,916.77,0.0
1779405108.7182462,362,102,94,71,954.67,0.0
1779405108.818217,362,102,94,72,952.2,0.0
1779405108.9182217,363,102,94,71,892.49,0.0
1779405109.018206,363,102,94,72,962.32,0.0
1779405109.1181974,364,102,94,72,875.17,0.0
1779405109.2181952,364,102,94,72,908.92,0.0
1779405109.3182209,364,101,94,72,994.41,0.0
1779405109.4182181,365,101,94,72,954.45,0.0
1779405109.51827,365,101,94,72,1004.51,0.0
1779405109.6182015,366,102,94,72,932.1,0.0
1779405109.718229,366,102,94,72,976.56,0.0
1779405109.8182104,367,102,95,72,854.81,0.0
1779405109.9182072,367,102,95,72,766.45,0.0
1779405110.0181987,367,102,95,73,788.64,0.0
1779405110.1216023,368,102,95,73,711.93,0.0
1779405110.2182238,368,102,95,73,749.39,0.0
1779405110.3182168,368,102,95,73,801.81,0.0
1779405110.4182153,369,102,95,73,730.92,0.0
1779405110.518211,369,102,96,73,789.12,0.0
1779405110.6182144,369,102,96,74,820.05,0.0
1779405110.718212,370,102,96,74,888.46,0.0
1779405110.8182085,370,102,96,74,921.32,0.0
1779405110.9182086,370,102,96,74,948.74,0.0
1779405111.0182052,371,102,96,74,900.4,0.0
1779405111.1181757,371,102,96,75,846.74,0.0
