timestamp,u,v,w,h,latency_ms,frame_drop
1779315989.388939,336,152,92,92,0.41,0.0
1779315989.4829977,336,154,92,92,0.48,0.0
1779315989.5829663,336,154,92,92,0.33,0.0
1779315989.6829636,336,154,92,92,0.26,0.0
1779315989.7829933,335,155,94,94,0.38,0.0
1779315989.8829978,334,154,92,92,0.29,0.0
1779315989.982976,333,155,94,94,0.33,0.0
1779315990.0829732,335,157,94,94,0.4,0.0
1779315990.1849048,333,157,94,94,0.29,0.0
1779315990.2829754,331,155,90,90,0.34,0.0
1779315990.383002,331,155,90,90,0.28,0.0
1779315990.4829721,332,156,92,92,1.07,0.0
1779315990.5836987,330,154,92,92,0.4,0.0
1779315990.6844714,330,156,92,92,0.29,0.0
1779315990.784585,330,156,92,92,0.28,0.0
1779315990.8856072,332,156,92,92,0.4,0.0
1779315990.9829783,332,156,92,92,0.2,0.0
1779315991.0829678,334,156,92,92,0.38,0.0
1779315991.182962,333,155,90,90,0.17,0.0
1779315991.2829685,332,156,92,92,0.22,0.0
1779315991.3829722,333,157,90,90,0.42,0.0
1779315991.4829755,332,156,92,92,0.59,0.0
1779315991.5829616,333,157,90,90,0.28,0.0
1779315991.6829898,333,157,90,90,0.18,0.0
1779315991.7829723,334,158,92,92,0.17,0.0
1779315991.8829782,335,157,90,90,0.23,0.0
1779315991.983003,334,154,88,88,0.2,0.0
1779315992.0829873,336,154,92,92,0.18,0.0
1779315992.182991,335,151,86,86,0.13,0.0
1779315992.2829762,336,150,88,88,1.45,0.0
1779315992.3829632,337,149,86,86,0.41,0.0
1779315992.482958,335,151,86,86,0.76,0.0
1779315992.5829663,337,151,86,86,0.4,0.0
1779315992.6829715,338,152,88,88,0.4,0.0
1779315992.7829742,338,152,88,88,0.41,0.0
1779315992.8829684,338,152,88,88,0.19,0.0
1779315992.9829657,337,151,86,86,0.19,0.0
1779315993.0829697,336,152,88,88,0.22,0.0
1779315993.1829748,336,152,88,88,0.19,0.0
1779315993.282968,337,155,90,90,0.23,0.0
1779315993.38296,337,153,90,90,0.18,0.0
1779315993.4846718,337,153,90,90,0.41,0.0
1779315993.5829606,337,155,90,90,0.18,0.0
1779315993.6829548,339,155,90,90,0.2,0.0
1779315993.7829537,337,153,90,90,2.46,0.0
1779315993.8829494,336,154,92,92,0.16,0.0
1779315993.9829614,338,154,88,88,0.27,0.0
1779315994.0830524,336,154,88,88,0.26,0.0
1779315994.1829875,338,154,88,88,0.39,0.0
1779315994.2829921,337,153,90,90,0.21,0.0
1779315994.382967,339,155,90,90,0.45,0.0
1779315994.48299,338,154,88,88,0.41,0.0
1779315994.5829844,338,154,88,88,0.22,0.0
1779315994.682977,339,155,90,90,0.39,0.0
1779315994.7829678,338,154,88,88,0.28,0.0
1779315994.8829746,340,154,88,88,0.45,0.0
1779315994.9829586,341,155,90,90,0.46,0.0
1779315995.0829604,340,156,88,88,1.27,0.0
1779315995.182969,339,155,86,86,0.36,0.0
1779315995.2829673,340,156,88,88,1.85,0.0
1779315995.3829618,338,156,88,88,1.05,0.0
1779315995.4829874,336,156,88,88,0.22,0.0
1779315995.5829766,333,155,86,86,0.42,0.0
1779315995.6829648,335,153,86,86,0.24,0.0
1779315995.7829874,339,155,86,86,0.32,0.0
1779315995.8829591,342,156,88,88,0.51,0.0
1779315995.9828577,344,154,84,84,0.37,0.0
1779315996.0829222,348,156,88,88,0.37,0.0
1779315996.1829445,349,157,86,86,0.35,0.0
1779315996.2829585,352,156,84,84,0.45,0.0
1779315996.3829663,351,159,86,86,0.34,0.0
1779315996.4829524,348,158,88,88,3.69,0.0
1779315996.5829678,343,157,86,86,1.57,0.0
1779315996.682998,340,158,88,88,0.49,0.0
1779315996.7829812,333,155,86,86,0.26,0.0
1779315996.8829837,333,155,86,86,0.43,0.0
1779315996.9829764,330,156,88,88,0.45,0.0
1779315997.082973,330,156,88,88,0.21,0.0
1779315997.1829736,327,155,90,90,0.21,0.0
1779315997.282951,327,153,90,90,0.23,0.0
1779315997.3829505,326,152,88,88,1.53,0.0
1779315997.4829686,326,154,92,92,0.42,0.0
1779315997.5829642,328,154,92,92,0.39,0.0
1779315997.6829696,327,155,90,90,0.35,0.0
1779315997.7829788,329,155,90,90,0.25,0.0
1779315997.8829694,331,155,90,90,0.34,0.0
1779315997.9829879,331,155,90,90,7.35,0.0
1779315998.0829632,331,155,90,90,8.04,0.0
1779315998.1829722,333,155,90,90,0.57,0.0
1779315998.2829628,333,157,90,90,0.42,0.0
1779315998.3829625,331,155,90,90,0.37,0.0
1779315998.482967,332,156,88,88,0.36,0.0
1779315998.5829716,333,155,90,90,0.44,0.0
1779315998.6829922,331,157,90,90,0.3,0.0
1779315998.782986,329,157,90,90,0.57,0.0
1779315998.8829594,323,155,90,90,0.17,0.0
1779315998.9829543,317,155,90,90,0.33,0.0
1779315999.0829487,310,154,92,92,0.34,0.0
1779315999.1829498,303,153,90,90,0.34,0.0
1779315999.282957,295,155,90,90,0.53,0.0
1779315999.3828943,285,157,90,90,3.38,0.0
1779315999.482994,281,155,94,94,0.42,0.0
1779315999.5829575,279,151,90,90,0.41,0.0
1779315999.6829505,281,149,94,94,4.14,0.0
1779315999.7829523,283,149,94,94,0.3,0.0
1779315999.882992,291,147,94,94,4.43,0.0
1779315999.9829717,301,143,94,94,0.19,0.0
1779316000.0829003,311,141,94,94,0.41,0.0
1779316000.1829588,329,133,98,98,0.4,0.0
1779316000.2829676,343,127,98,98,0.27,0.0
1779316000.38296,357,125,98,98,0.4,0.0
1779316000.4829607,366,122,100,100,0.42,0.0
1779316000.582964,372,118,100,100,0.43,0.0
1779316000.682961,369,119,102,102,0.25,0.0
1779316000.7829666,362,116,100,100,0.19,0.0
1779316000.8829596,357,117,102,102,0.36,0.0
1779316000.9829624,350,114,100,100,5.06,0.0
1779316001.082969,347,115,102,102,0.37,0.0
1779316001.1829555,342,116,104,104,0.3,0.0
1779316001.2829993,340,114,100,100,0.46,0.0
1779316001.3829587,337,115,102,102,0.23,0.0
1779316001.4829621,334,116,100,100,0.2,0.0
1779316001.5829926,334,116,100,100,0.26,0.0
1779316001.684998,332,116,100,100,0.56,0.0
1779316001.7847338,332,116,100,100,0.18,0.0
1779316001.8849459,332,116,100,100,0.41,0.0
1779316001.9829984,330,118,100,100,0.28,0.0
1779316002.08299,332,118,100,100,0.23,0.0
1779316002.182966,333,117,102,102,0.26,0.0
1779316002.28296,334,116,100,100,0.19,0.0
1779316002.3829489,335,117,102,102,0.41,0.0
1779316002.4829726,334,116,100,100,1.1,0.0
1779316002.5829709,335,117,102,102,0.16,0.0
1779316002.6829898,335,117,102,102,0.18,0.0
1779316002.782995,336,116,100,100,0.16,0.0
1779316002.882993,335,117,102,102,4.28,0.0
1779316002.982951,337,117,102,102,0.15,0.0
1779316003.0829434,337,117,102,102,3.69,0.0
1779316003.1829498,337,117,102,102,0.41,0.0
1779316003.282943,338,116,100,100,0.39,0.0
1779316003.3829455,338,116,100,100,0.2,0.0
1779316003.482943,338,116,100,100,0.28,0.0
1779316003.582966,337,115,98,98,0.43,0.0
1779316003.6829717,338,116,100,100,0.38,0.0
1779316003.7829401,338,116,100,100,0.27,0.0
1779316003.8829422,338,116,100,100,0.17,0.0
1779316003.982964,338,116,100,100,0.24,0.0
1779316004.0829628,338,116,100,100,0.35,0.0
1779316004.1829753,338,116,100,100,0.7,0.0
1779316004.2829707,338,116,100,100,0.77,0.0
1779316004.382962,338,114,100,100,1.31,0.0
1779316004.482958,339,115,102,102,0.24,0.0
1779316004.5829563,338,116,100,100,0.19,0.0
1779316004.682959,339,115,102,102,0.48,0.0
1779316004.7829561,338,114,100,100,7.02,0.0
1779316004.8829582,336,116,104,104,0.49,0.0
1779316004.9829576,335,115,102,102,0.28,0.0
1779316005.0829542,331,115,102,102,0.43,0.0
1779316005.182963,324,116,104,104,0.35,0.0
1779316005.282964,319,117,102,102,0.38,0.0
1779316005.3829694,315,117,102,102,0.2,0.0
1779316005.482977,314,120,100,100,0.43,0.0
1779316005.5829847,323,129,102,102,0.38,0.0
1779316005.6829913,323,129,102,102,0.38,0.0
1779316005.7829678,323,129,102,102,0.38,0.0
1779316005.8829696,323,129,102,102,0.38,0.0
1779316005.9830763,323,129,102,102,0.38,0.0
1779316006.0829697,323,129,102,102,0.38,0.0
1779316006.1829343,323,129,102,102,0.38,0.0
1779316006.2829735,323,129,102,102,0.38,0.0
1779316006.3829713,323,129,102,102,0.38,0.0
1779316006.4829278,323,129,102,102,0.38,0.0
