timestamp,u,v,w,h,latency_ms,frame_drop
1779405096.99378,429,112,113,113,1.11,0.0
1779405097.0937886,426,111,113,113,2.94,0.0
1779405097.1903884,422,111,113,113,0.55,0.0
1779405097.2903833,416,110,112,112,0.36,0.0
1779405097.390359,413,110,112,112,0.33,0.0
1779405097.4903736,408,110,112,112,0.31,0.0
1779405097.5903764,405,110,112,112,0.42,0.0
1779405097.6903744,401,109,111,111,0.31,0.0
1779405097.7903578,397,109,111,111,0.67,0.0
1779405097.8903842,394,109,111,111,0.37,0.0
1779405097.9903903,391,109,110,110,0.45,0.0
1779405098.0903816,387,109,110,110,0.3,0.0
1779405098.1903954,383,109,110,110,0.31,0.0
1779405098.2903864,380,109,109,109,0.42,0.0
1779405098.3903773,378,109,109,109,0.35,0.0
1779405098.4903867,376,109,109,109,0.3,0.0
1779405098.5904012,374,109,109,109,0.25,0.0
1779405098.6903832,372,109,108,108,0.65,0.0
1779405098.7903607,369,109,108,108,0.39,0.0
1779405098.8903854,368,110,108,108,0.3,0.0
1779405098.9903846,367,110,108,108,0.33,0.0
1779405099.090379,364,110,108,108,0.45,0.0
1779405099.1903841,363,110,108,108,0.32,0.0
1779405099.2904115,362,110,108,108,0.29,0.0
1779405099.390391,360,110,108,108,0.29,0.0
1779405099.4903815,359,110,108,108,0.32,0.0
1779405099.590381,358,111,108,108,0.3,0.0
1779405099.690384,357,111,108,108,0.32,0.0
1779405099.7917497,356,111,108,108,0.32,0.0
1779405099.8903646,355,111,108,108,0.78,0.0
1779405099.9903655,354,111,108,108,0.29,0.0
1779405100.0903623,353,111,108,108,0.46,0.0
1779405100.1903746,352,112,108,108,0.57,0.0
1779405100.290378,351,112,108,108,0.49,0.0
1779405100.3903825,351,112,108,108,0.5,0.0
1779405100.4903793,350,112,108,108,0.29,0.0
1779405100.5903995,350,112,108,108,0.32,0.0
1779405100.6903923,349,112,108,108,1.02,0.0
1779405100.7903805,348,113,108,108,0.3,0.0
1779405100.8903878,348,113,108,108,0.28,0.0
1779405100.990376,347,113,108,108,0.34,0.0
1779405101.0903797,347,113,108,108,0.31,0.0
1779405101.19039,346,113,108,108,0.34,0.0
1779405101.2903771,346,113,108,108,0.31,0.0
1779405101.3904455,346,114,108,108,0.28,0.0
1779405101.4903674,345,114,108,108,0.3,0.0
1779405101.590375,345,114,108,108,0.32,0.0
1779405101.6903737,345,114,108,108,0.32,0.0
1779405101.7903817,345,114,108,108,0.41,0.0
1779405101.890379,345,115,108,108,0.31,0.0
1779405101.9904182,345,115,108,108,0.32,0.0
1779405102.0916085,344,115,108,108,0.31,0.0
1779405102.1903734,344,115,108,108,0.3,0.0
1779405102.2903821,344,115,108,108,3.17,0.0
1779405102.3903775,344,115,108,108,0.45,0.0
1779405102.4903812,344,115,108,108,0.3,0.0
1779405102.590388,344,115,108,108,0.34,0.0
1779405102.6905177,344,115,108,108,0.32,0.0
1779405102.7903826,344,115,108,108,0.54,0.0
1779405102.890376,344,115,108,108,4.22,0.0
1779405102.990369,344,116,108,108,2.25,0.0
1779405103.0903828,344,116,108,108,0.59,0.0
1779405103.1903844,344,116,108,108,0.31,0.0
1779405103.2903485,344,116,108,108,0.35,0.0
1779405103.3903654,344,116,108,108,0.39,0.0
1779405103.490372,344,116,108,108,0.31,0.0
1779405103.5903842,344,116,108,108,0.31,0.0
1779405103.690361,345,116,108,108,0.3,0.0
1779405103.7903874,345,116,108,108,0.31,0.0
1779405103.8903925,345,116,108,108,0.33,0.0
1779405103.9903867,345,116,108,108,0.28,0.0
1779405104.0903857,344,115,107,107,0.37,0.0
1779405104.1903708,343,114,107,107,0.36,0.0
1779405104.29039,341,113,107,107,0.33,0.0
1779405104.3903744,339,113,107,107,0.32,0.0
1779405104.4904165,338,112,107,107,0.26,0.0
1779405104.5904064,337,111,107,107,0.28,0.0
1779405104.6903553,336,111,107,107,0.28,0.0
1779405104.7937915,336,110,107,107,0.3,0.0
1779405104.8903737,336,109,107,107,0.28,0.0
1779405104.990388,337,109,106,106,0.28,0.0
1779405105.0903869,338,108,106,106,0.29,0.0
1779405105.1903846,340,107,106,106,0.35,0.0
1779405105.2903845,342,107,105,105,0.31,0.0
1779405105.3903816,343,106,105,105,0.67,0.0
1779405105.4903872,344,105,105,105,0.33,0.0
1779405105.5903864,345,105,104,104,0.28,0.0
1779405105.6904013,346,104,105,105,0.28,0.0
1779405105.7904155,347,104,104,104,0.31,0.0
1779405105.8903987,348,103,104,104,0.31,0.0
1779405105.9903862,349,103,104,104,0.42,0.0
1779405106.0903895,349,103,104,104,0.34,0.0
1779405106.190385,350,102,103,103,1.47,0.0
1779405106.2903874,350,102,103,103,0.33,0.0
1779405106.3903735,351,101,103,103,0.35,0.0
1779405106.4903872,351,101,103,103,4.09,0.0
1779405106.5903912,352,101,102,102,0.5,0.0
1779405106.6903796,352,101,102,102,0.26,0.0
1779405106.7903776,353,101,102,102,1.57,0.0
1779405106.8903885,354,101,102,102,1.29,0.0
1779405106.9903948,354,101,102,102,0.34,0.0
1779405107.0903878,355,101,102,102,0.33,0.0
1779405107.1903968,355,101,101,101,0.35,0.0
1779405107.2903526,356,101,101,101,0.39,0.0
1779405107.3904066,357,101,101,101,0.29,0.0
1779405107.490463,357,101,101,101,0.31,0.0
1779405107.5903654,358,101,101,101,0.74,0.0
1779405107.690366,359,101,102,102,0.42,0.0
1779405107.790383,359,101,102,102,0.39,0.0
1779405107.8903646,360,101,102,102,8.17,0.0
1779405107.9903915,360,101,102,102,0.34,0.0
1779405108.0903666,361,101,103,103,0.3,0.0
1779405108.1903732,361,101,103,103,0.29,0.0
1779405108.2903733,361,101,103,103,0.3,0.0
1779405108.3903008,361,101,103,103,0.32,0.0
1779405108.4905794,362,101,103,103,0.32,0.0
1779405108.5903645,362,101,103,103,0.33,0.0
1779405108.6903718,362,101,104,104,0.38,0.0
1779405108.7903726,362,101,104,104,3.04,0.0
1779405108.8903909,362,101,103,103,0.52,0.0
1779405108.9903913,363,100,103,103,0.38,0.0
1779405109.0903893,363,100,103,103,0.31,0.0
1779405109.1903846,363,100,103,103,0.31,0.0
1779405109.2903662,363,100,103,103,6.66,0.0
1779405109.3903809,363,100,104,104,0.29,0.0
1779405109.490376,363,100,104,104,0.5,0.0
1779405109.5904741,364,100,104,104,0.32,0.0
1779405109.6903555,364,100,105,105,0.32,0.0
1779405109.7903738,364,100,105,105,0.25,0.0
1779405109.8903575,364,100,105,105,0.3,0.0
1779405109.9903653,364,100,105,105,0.33,0.0
1779405110.0903654,365,100,106,106,0.3,0.0
1779405110.1904194,365,100,105,105,0.26,0.0
1779405110.2903717,365,100,105,105,0.29,0.0
1779405110.3903642,365,100,105,105,0.43,0.0
1779405110.4903834,365,101,105,105,0.35,0.0
1779405110.5903692,365,101,105,105,7.41,0.0
1779405110.69037,365,101,105,105,0.31,0.0
1779405110.7903855,365,101,105,105,0.25,0.0
1779405110.890648,366,101,105,105,0.36,0.0
1779405110.9903893,366,101,105,105,0.28,0.0
1779405111.0903888,366,102,105,105,0.34,0.0
1779405111.1903875,366,102,105,105,0.35,0.0
1779405111.2904143,366,102,106,106,0.29,0.0
1779405111.3903599,366,102,106,106,0.36,0.0
1779405111.4903617,367,103,106,106,0.32,0.0
1779405111.5903776,367,103,106,106,0.32,0.0
1779405111.6903756,367,104,107,107,0.32,0.0
1779405111.7903757,368,104,107,107,0.54,0.0
1779405111.890396,368,104,107,107,0.3,0.0
1779405111.990364,368,105,107,107,0.44,0.0
1779405112.0903742,368,105,107,107,2.33,0.0
1779405112.1903782,369,105,107,107,0.36,0.0
1779405112.290595,369,106,107,107,0.28,0.0
1779405112.3903797,369,106,107,107,3.21,0.0
1779405112.4903808,369,106,107,107,0.3,0.0
1779405112.590386,369,107,107,107,0.3,0.0
1779405112.690324,370,107,107,107,0.27,0.0
1779405112.7903693,370,107,107,107,0.32,0.0
1779405112.8903704,370,107,108,108,0.23,0.0
1779405112.9903765,370,107,108,108,0.29,0.0
1779405113.090386,370,107,108,108,0.32,0.0
1779405113.190368,370,107,107,107,0.35,0.0
1779405113.2903786,370,107,107,107,0.3,0.0
1779405113.39039,370,107,107,107,0.45,0.0
1779405113.4903677,370,107,106,106,4.26,0.0
1779405113.5903664,370,107,106,106,2.9,0.0
1779405113.6903534,369,106,105,105,1.83,0.0
1779405113.7903664,369,106,105,105,0.41,0.0
1779405113.8903658,369,106,105,105,0.33,0.0
1779405113.990378,368,106,104,104,2.06,0.0
1779405114.0904062,368,106,104,104,5.53,0.0
1779405114.1903923,368,106,103,103,0.36,0.0
1779405114.290386,368,106,103,103,0.49,0.0
1779405114.390388,368,106,103,103,0.31,0.0
1779405114.4903843,368,106,103,103,0.3,0.0
1779405114.590386,368,106,103,103,0.56,0.0
1779405114.6903741,368,106,103,103,0.33,0.0
1779405114.7903707,368,106,103,103,0.32,0.0
1779405114.8903825,368,106,103,103,0.74,0.0
1779405114.9903789,369,106,103,103,2.9,0.0
1779405115.0903847,369,106,103,103,1.77,0.0
1779405115.1903782,369,106,103,103,0.9,0.0
1779405115.2903771,369,107,103,103,0.35,0.0
1779405115.3903682,369,107,104,104,0.62,0.0
1779405115.4903836,369,107,104,104,0.29,0.0
1779405115.5903845,369,107,104,104,0.29,0.0
1779405115.6904845,368,107,105,105,0.33,0.0
1779405115.7903693,368,107,104,104,0.4,0.0
1779405115.890398,368,107,104,104,0.26,0.0
1779405115.9903815,367,106,104,104,0.32,0.0
1779405116.09039,367,106,104,104,0.33,0.0
1779405116.190375,367,106,104,104,0.31,0.0
1779405116.2903647,367,106,103,103,0.39,0.0
1779405116.3903728,368,106,103,103,0.28,0.0
1779405116.490364,368,106,104,104,0.28,0.0
1779405116.5903606,368,106,104,104,2.54,0.0
1779405116.6903617,368,106,104,104,0.34,0.0
1779405116.7903812,368,106,104,104,0.32,0.0
1779405116.8903775,368,106,104,104,0.37,0.0
1779405116.9903808,369,106,105,105,0.31,0.0
1779405117.0903497,369,106,105,105,0.26,0.0
1779405117.1912663,369,106,105,105,0.36,0.0
1779405117.290395,369,106,106,106,0.29,0.0
1779405117.3903763,369,106,106,106,0.28,0.0
1779405117.4903765,369,106,105,105,0.33,0.0
1779405117.5903263,369,106,105,105,0.28,0.0
1779405117.690476,369,106,105,105,0.29,0.0
1779405117.7903607,369,106,105,105,3.28,0.0
1779405117.8903708,369,106,106,106,0.29,0.0
1779405117.9903715,369,106,106,106,0.5,0.0
1779405118.0903697,369,106,106,106,0.33,0.0
1779405118.1903732,369,106,106,106,0.34,0.0
1779405118.290372,369,106,106,106,0.29,0.0
1779405118.3903716,369,106,107,107,0.26,0.0
1779405118.4903734,369,107,107,107,0.34,0.0
1779405118.5903847,369,107,107,107,0.42,0.0
1779405118.6903996,368,107,107,107,0.32,0.0
1779405118.7903805,368,107,107,107,0.27,0.0
1779405118.8903828,368,107,108,108,0.26,0.0
1779405118.9903758,367,107,108,108,0.29,0.0
1779405119.0903761,367,107,108,108,0.28,0.0
1779405119.190371,367,107,108,108,0.28,0.0
1779405119.2903764,365,107,109,109,0.31,0.0
1779405119.3903773,365,108,109,109,0.35,0.0
1779405119.4903862,364,108,109,109,0.29,0.0
1779405119.5903864,364,109,109,109,0.27,0.0
1779405119.69039,365,111,109,109,0.33,0.0
1779405119.790396,366,111,109,109,0.38,0.0
1779405119.8903892,366,111,109,109,0.38,0.0
1779405119.9903944,366,111,109,109,0.38,0.0
1779405120.0903926,366,111,109,109,0.38,0.0
