timestamp,u,v,w,h,latency_ms,frame_drop
1779405096.961777,363,119,87,116,3.44,0.0
1779405097.0617583,363,119,87,116,3.44,0.0
1779405097.1588306,363,119,87,116,3.44,0.0
1779405097.2588258,366,120,86,115,14.32,0.0
1779405097.3588383,366,120,86,115,14.32,0.0
1779405097.4588416,366,120,86,115,14.32,0.0
1779405097.5588272,366,120,86,115,14.32,0.0
1779405097.6588433,355,114,88,116,12.48,0.0
1779405097.758836,355,114,88,116,12.48,0.0
1779405097.8588457,355,114,88,116,12.48,0.0
1779405097.9588277,363,117,89,123,0.99,0.0
1779405098.0588315,363,117,89,123,0.99,0.0
1779405098.1588304,401,117,93,124,1.49,0.0
1779405098.258812,401,117,93,124,1.49,0.0
1779405098.3588157,407,118,92,126,0.55,0.0
1779405098.4589515,407,118,92,126,0.55,0.0
1779405098.5588257,452,120,96,133,0.68,0.0
1779405098.658813,452,120,96,133,0.68,0.0
1779405098.7588367,452,120,96,133,0.68,0.0
1779405098.858913,452,120,96,133,0.68,0.0
1779405098.9588337,451,121,97,129,9.78,0.0
1779405099.0588303,451,121,97,129,9.78,0.0
1779405099.1588356,451,121,97,129,9.78,0.0
1779405099.2588391,450,121,97,129,7.72,0.0
1779405099.3588417,449,122,96,128,3.65,0.0
1779405099.4588408,449,122,96,128,3.65,0.0
1779405099.5588224,449,122,96,128,3.65,0.0
1779405099.6589663,440,119,96,127,2.81,0.0
1779405099.7588348,440,119,96,127,2.81,0.0
1779405099.8590221,440,119,96,127,2.81,0.0
1779405099.9588294,437,119,94,123,0.63,0.0
1779405100.0588248,437,119,94,123,0.63,0.0
1779405100.1590486,437,119,94,123,0.63,0.0
1779405100.2588704,437,119,94,123,0.63,0.0
1779405100.3594139,437,119,94,123,0.63,0.0
1779405100.4597466,437,119,94,123,0.63,0.0
1779405100.5602882,350,115,91,116,16.31,0.0
1779405100.6607263,350,115,91,116,16.31,0.0
1779405100.7588294,350,115,91,116,16.31,0.0
1779405100.8588383,338,116,90,116,7.04,0.0
1779405100.958908,338,116,90,116,7.04,0.0
1779405101.0588179,338,116,90,116,7.04,0.0
1779405101.1588426,338,115,89,115,1.03,0.0
1779405101.2588358,338,115,89,115,1.03,0.0
1779405101.3588352,338,115,89,115,1.03,0.0
1779405101.4588425,339,118,90,115,1.79,0.0
1779405101.5588226,339,118,90,115,1.79,0.0
1779405101.658812,339,118,90,115,1.79,0.0
1779405101.7588208,339,118,90,115,1.79,0.0
1779405101.8588052,339,118,90,115,1.79,0.0
1779405101.9588048,344,119,87,112,0.5,0.0
1779405102.0588343,344,119,87,112,0.5,0.0
1779405102.1588254,344,119,87,112,0.5,0.0
1779405102.2588258,344,119,87,114,0.4,0.0
1779405102.3588307,344,119,87,114,0.4,0.0
1779405102.4588337,344,119,87,114,0.4,0.0
1779405102.5588238,344,119,87,114,0.4,0.0
1779405102.658996,345,119,85,112,0.56,0.0
1779405102.7588284,345,119,85,112,0.56,0.0
1779405102.8588316,345,119,85,112,0.56,0.0
1779405102.9588444,346,119,86,113,0.66,0.0
1779405103.0588315,346,119,86,113,0.66,0.0
1779405103.1588776,346,119,86,113,0.66,0.0
1779405103.2588434,346,119,86,112,0.53,0.0
1779405103.3591144,346,119,86,112,3.08,0.0
1779405103.4588475,346,119,86,112,3.08,0.0
1779405103.5588467,346,119,86,112,3.08,0.0
1779405103.6588142,346,119,86,112,3.08,0.0
1779405103.7588336,347,118,86,111,0.47,0.0
1779405103.858846,347,118,86,111,0.47,0.0
1779405103.958826,347,118,86,111,0.47,0.0
1779405104.0588763,347,119,86,112,0.51,0.0
1779405104.1587596,347,119,86,112,0.51,0.0
1779405104.2588332,347,119,86,112,0.51,0.0
1779405104.3589232,347,119,86,112,0.51,0.0
1779405104.4587233,347,119,86,112,0.51,0.0
1779405104.5591335,347,119,86,111,0.56,0.0
1779405104.658867,347,119,86,111,0.56,0.0
1779405104.7588189,347,120,86,112,4.41,0.0
1779405104.8588212,347,120,86,112,4.41,0.0
1779405104.9590046,347,120,86,112,4.41,0.0
1779405105.0588365,346,120,85,113,0.57,0.0
1779405105.1587799,346,120,85,113,0.57,0.0
1779405105.2588398,346,120,85,113,0.57,0.0
1779405105.359038,347,120,86,113,3.69,0.0
1779405105.458833,347,120,86,113,3.69,0.0
1779405105.5605912,347,120,86,113,3.69,0.0
1779405105.659087,346,120,85,112,0.45,0.0
1779405105.758846,346,120,85,112,0.45,0.0
1779405105.8617923,346,120,85,112,0.45,0.0
1779405105.959638,346,120,85,112,0.45,0.0
1779405106.0588615,346,120,87,113,6.2,0.0
1779405106.1588492,346,120,87,113,6.2,0.0
1779405106.2588408,346,120,87,113,6.2,0.0
1779405106.358859,346,120,87,112,5.45,0.0
1779405106.4588284,346,120,87,112,5.45,0.0
1779405106.5588405,347,120,86,112,0.66,0.0
1779405106.6588352,347,120,86,112,0.66,0.0
1779405106.7588313,347,120,86,112,0.49,0.0
1779405106.8617957,347,120,86,112,0.49,0.0
1779405106.9588437,347,120,86,112,0.49,0.0
1779405107.0588377,347,120,86,112,0.49,0.0
1779405107.1588397,347,120,86,112,0.45,0.0
1779405107.2588496,347,120,86,112,0.45,0.0
1779405107.3588593,347,120,86,112,0.45,0.0
1779405107.4588504,336,108,88,113,0.53,0.0
1779405107.5588293,336,108,88,113,0.53,0.0
1779405107.658849,336,108,88,113,0.53,0.0
1779405107.758849,334,107,86,113,0.57,0.0
1779405107.8588428,334,107,86,113,0.57,0.0
1779405107.9588196,334,107,86,113,0.57,0.0
1779405108.058809,350,106,88,120,0.28,0.0
1779405108.15889,350,106,88,120,0.28,0.0
1779405108.258839,350,106,88,120,0.28,0.0
1779405108.3588428,375,106,92,122,0.49,0.0
1779405108.4588487,375,106,92,122,0.49,0.0
1779405108.5588233,375,106,92,122,0.49,0.0
1779405108.6588316,375,106,92,122,0.49,0.0
1779405108.758821,375,106,92,122,0.49,0.0
1779405108.8588147,376,106,92,122,0.45,0.0
1779405108.9588273,376,106,92,122,0.45,0.0
1779405109.0588272,374,106,93,123,0.44,0.0
1779405109.1588185,374,106,93,123,0.44,0.0
1779405109.2588341,366,106,88,121,0.63,0.0
1779405109.3588367,366,106,88,121,0.63,0.0
1779405109.4588237,366,106,88,121,0.63,0.0
1779405109.5588315,366,106,88,121,0.63,0.0
1779405109.6588218,366,106,88,121,0.63,0.0
1779405109.7588263,366,106,88,121,0.63,0.0
1779405109.8588743,366,106,88,121,0.63,0.0
1779405109.958841,366,106,88,121,0.63,0.0
1779405110.058815,366,106,88,121,0.63,0.0
1779405110.158815,366,106,88,121,0.63,0.0
1779405110.2588172,366,106,88,121,0.63,0.0
1779405110.3588228,366,106,88,119,0.65,0.0
1779405110.458826,366,106,88,119,0.65,0.0
1779405110.5588078,366,106,88,119,0.65,0.0
1779405110.658834,365,108,86,120,0.5,0.0
1779405110.7588131,365,108,86,120,0.5,0.0
1779405110.8588147,365,108,86,120,0.5,0.0
1779405110.9588223,366,110,88,116,0.45,0.0
1779405111.0587995,366,110,88,116,0.45,0.0
1779405111.1588147,365,110,89,116,0.42,0.0
1779405111.2588098,365,110,89,116,0.42,0.0
1779405111.3588123,365,110,89,116,0.42,0.0
1779405111.4588213,365,112,89,118,0.95,0.0
1779405111.558819,365,112,89,118,0.95,0.0
1779405111.6588197,367,111,88,117,0.67,0.0
1779405111.75883,367,111,88,117,0.67,0.0
1779405111.8588374,367,110,90,117,0.62,0.0
1779405111.9588306,367,110,90,117,0.62,0.0
1779405112.0588276,367,110,90,117,0.62,0.0
1779405112.158821,367,109,90,117,0.42,0.0
1779405112.258809,367,109,90,117,0.42,0.0
1779405112.358957,366,105,89,121,0.42,0.0
1779405112.459212,366,105,89,121,0.42,0.0
1779405112.5588255,367,106,90,121,0.57,0.0
1779405112.6588306,367,106,90,121,0.57,0.0
1779405112.7588239,367,106,90,121,0.57,0.0
1779405112.8588395,367,106,90,121,0.57,0.0
1779405112.9588337,367,106,90,121,0.57,0.0
1779405113.0588331,366,106,90,121,0.4,0.0
1779405113.1588392,366,106,90,121,0.4,0.0
1779405113.258831,367,108,89,120,0.51,0.0
1779405113.3588457,367,108,89,120,0.51,0.0
1779405113.4588373,367,108,89,120,0.51,0.0
1779405113.5588212,367,108,90,121,0.37,0.0
1779405113.658822,367,108,90,121,0.37,0.0
1779405113.7588215,367,108,90,121,0.37,0.0
1779405113.8588228,367,108,90,121,0.37,0.0
1779405113.9588292,367,109,89,119,0.38,0.0
1779405114.0588439,367,109,89,119,0.38,0.0
1779405114.1588483,367,109,89,119,0.38,0.0
1779405114.258843,368,113,89,118,0.43,0.0
1779405114.358833,368,113,89,118,0.43,0.0
1779405114.458813,369,115,89,117,0.38,0.0
1779405114.558821,369,115,89,117,0.38,0.0
1779405114.658834,369,115,89,117,0.38,0.0
1779405114.7588408,369,115,89,116,0.34,0.0
