timestamp,u,v,w,h,latency_ms,frame_drop
1779405097.0105054,374,165,89,125,0.6,0.0
1779405097.1101031,374,165,89,125,0.6,0.0
1779405097.2100601,373,161,88,124,0.53,0.0
1779405097.3100817,373,161,88,124,0.53,0.0
1779405097.4100676,373,161,88,124,0.53,0.0
1779405097.5100713,373,161,88,124,0.53,0.0
1779405097.6100743,373,161,88,124,0.53,0.0
1779405097.7100706,371,157,87,122,0.46,0.0
1779405097.8100746,371,157,87,122,0.46,0.0
1779405097.910149,370,154,87,121,0.5,0.0
1779405098.010092,370,154,87,121,0.5,0.0
1779405098.1100805,370,154,87,121,0.5,0.0
1779405098.2101,371,151,88,121,0.42,0.0
1779405098.3103514,371,151,88,121,0.42,0.0
1779405098.4100907,373,148,88,122,0.41,0.0
1779405098.510081,373,148,88,122,0.41,0.0
1779405098.610072,378,145,89,123,0.49,0.0
1779405098.7101417,378,145,89,123,0.49,0.0
1779405098.8100843,378,145,89,123,0.49,0.0
1779405098.9100862,382,143,90,123,10.02,0.0
1779405099.0100803,382,143,90,123,10.02,0.0
1779405099.1100771,382,143,90,123,10.02,0.0
1779405099.2100918,386,141,90,123,0.41,0.0
1779405099.3101332,389,139,91,124,3.82,0.0
1779405099.4100704,389,139,91,124,3.82,0.0
1779405099.510055,389,139,91,124,3.82,0.0
1779405099.6100736,392,137,92,124,0.52,0.0
1779405099.7100494,392,137,92,124,0.52,0.0
1779405099.810068,392,137,92,124,0.52,0.0
1779405099.9100785,395,135,92,123,0.46,0.0
1779405100.0100923,395,135,92,123,0.46,0.0
1779405100.1100843,395,135,92,123,0.46,0.0
1779405100.210054,395,135,92,123,0.46,0.0
1779405100.3100564,395,135,92,123,0.46,0.0
1779405100.4100819,395,135,92,123,0.46,0.0
1779405100.510083,392,132,92,122,1.07,0.0
1779405100.6100757,392,132,92,122,1.07,0.0
1779405100.7100785,392,132,92,122,1.07,0.0
1779405100.813795,392,132,92,122,1.07,0.0
1779405100.9100704,389,130,91,121,0.45,0.0
1779405101.0137773,389,130,91,121,0.45,0.0
1779405101.110059,389,130,91,121,0.45,0.0
1779405101.2137802,385,128,91,120,0.68,0.0
1779405101.3100543,385,128,91,120,0.68,0.0
1779405101.4100752,382,126,91,119,0.45,0.0
1779405101.5100875,382,126,91,119,0.45,0.0
1779405101.6100786,382,126,91,119,0.45,0.0
1779405101.7100797,382,126,91,119,0.45,0.0
1779405101.810246,382,126,91,119,0.45,0.0
1779405101.910059,382,126,91,119,0.45,0.0
1779405102.0100915,379,124,90,117,0.42,0.0
1779405102.1101437,379,124,90,117,0.42,0.0
1779405102.2100594,377,123,89,116,0.48,0.0
1779405102.3100681,377,123,89,116,0.48,0.0
1779405102.4100804,377,123,89,116,0.48,0.0
1779405102.510071,377,123,89,116,0.48,0.0
1779405102.6100855,374,121,88,115,0.42,0.0
1779405102.710065,374,121,88,115,0.42,0.0
1779405102.8100634,374,121,88,115,0.42,0.0
