timestamp,u,v,w,h,latency_ms,frame_drop
1779237358.6718109,355,113,94,94,2.47,0.0
1779237358.7718804,353,113,94,94,3.12,0.0
1779237358.871863,355,113,90,90,4.21,0.0
1779237358.972487,355,113,94,94,6.85,0.0
1779237359.0724592,354,112,92,92,0.17,0.0
1779237359.1731548,354,114,92,92,0.16,0.0
1779237359.271842,354,114,92,92,13.77,0.0
1779237359.371853,354,112,92,92,0.54,0.0
1779237359.4718392,353,113,94,94,0.21,0.0
1779237359.5718591,354,114,92,92,2.45,0.0
1779237359.671857,355,113,94,94,4.85,0.0
1779237359.7718573,354,114,92,92,5.3,0.0
1779237359.871863,353,113,94,94,0.17,0.0
1779237359.9718595,353,113,94,94,0.16,0.0
1779237360.07184,353,113,94,94,3.7,0.0
1779237360.1718552,353,113,94,94,0.16,0.0
1779237360.271919,353,113,94,94,0.16,0.0
1779237360.3718574,354,112,92,92,2.33,0.0
1779237360.4718602,352,114,96,96,1.09,0.0
1779237360.5718455,352,114,96,96,0.17,0.0
1779237360.6718493,351,113,94,94,0.15,0.0
1779237360.7718446,353,115,94,94,0.89,0.0
1779237360.871864,353,115,94,94,0.28,0.0
1779237360.9718645,352,114,92,92,0.72,0.0
1779237361.0718436,354,114,92,92,1.04,0.0
1779237361.171851,355,115,94,94,0.15,0.0
1779237361.271845,355,115,94,94,1.6,0.0
1779237361.3718483,355,115,94,94,0.79,0.0
1779237361.4720101,356,116,96,96,0.31,0.0
1779237361.5718472,356,116,96,96,1.54,0.0
1779237361.67186,355,115,94,94,0.3,0.0
1779237361.771853,356,116,96,96,3.27,0.0
1779237361.8718472,355,117,94,94,0.18,0.0
1779237361.9718566,356,118,96,96,12.22,0.0
1779237362.0718482,356,116,92,92,2.41,0.0
1779237362.1718464,357,117,94,94,0.18,0.0
1779237362.2718248,357,117,94,94,0.16,0.0
1779237362.371843,359,117,94,94,0.26,0.0
1779237362.4718547,358,116,92,92,4.15,0.0
1779237362.5718486,359,117,94,94,0.16,0.0
1779237362.6718333,359,117,94,94,0.15,0.0
1779237362.7718215,359,117,94,94,0.19,0.0
1779237362.8718407,359,117,94,94,0.14,0.0
1779237362.971847,358,118,96,96,0.17,0.0
1779237363.0718472,357,117,94,94,2.61,0.0
1779237363.1718397,357,117,94,94,0.52,0.0
1779237363.2718537,359,117,94,94,8.05,0.0
1779237363.371831,359,117,94,94,6.02,0.0
1779237363.4718273,358,118,96,96,13.38,0.0
1779237363.5718374,359,117,94,94,2.78,0.0
1779237363.6718254,360,116,96,96,5.6,0.0
1779237363.7718408,360,116,96,96,1.21,0.0
1779237363.871954,359,115,94,94,2.36,0.0
1779237363.9718375,360,116,96,96,1.27,0.0
1779237364.0718305,360,116,96,96,2.13,0.0
1779237364.1718483,360,116,96,96,3.1,0.0
1779237364.2718506,359,115,94,94,0.56,0.0
1779237364.372303,359,115,94,94,8.54,0.0
1779237364.4728446,359,115,94,94,3.09,0.0
1779237364.573568,360,116,96,96,3.2,0.0
1779237364.6718435,360,116,96,96,0.14,0.0
1779237364.7718437,360,116,96,96,0.59,0.0
1779237364.8740692,359,115,94,94,3.71,0.0
1779237364.9718416,359,115,94,94,0.19,0.0
1779237365.0724802,359,115,94,94,0.47,0.0
1779237365.1718485,359,117,94,94,2.97,0.0
1779237365.2718568,359,117,94,94,0.58,0.0
1779237365.3718503,359,117,94,94,2.05,0.0
1779237365.4718568,359,117,94,94,0.18,0.0
1779237365.571869,359,117,94,94,2.28,0.0
1779237365.6718614,359,117,94,94,0.16,0.0
1779237365.771834,358,118,92,92,0.87,0.0
1779237365.8718488,360,118,96,96,1.62,0.0
1779237365.9718382,361,117,94,94,0.71,0.0
1779237366.0718637,361,117,94,94,0.75,0.0
1779237366.172061,361,117,94,94,0.16,0.0
1779237366.2718885,360,118,92,92,1.04,0.0
1779237366.371861,361,117,94,94,0.14,0.0
1779237366.4718583,361,117,94,94,0.16,0.0
1779237366.5718377,362,118,96,96,0.18,0.0
1779237366.6718452,364,118,96,96,0.18,0.0
1779237366.7718463,362,118,96,96,0.15,0.0
1779237366.8718414,362,118,96,96,0.15,0.0
1779237366.971846,362,118,96,96,0.16,0.0
1779237367.0718377,363,117,94,94,0.12,0.0
1779237367.171861,364,118,96,96,0.15,0.0
1779237367.2718618,362,118,96,96,0.16,0.0
1779237367.371841,362,116,96,96,0.15,0.0
1779237367.471851,363,117,94,94,0.22,0.0
1779237367.571855,362,118,96,96,0.17,0.0
1779237367.6718495,364,118,96,96,0.37,0.0
1779237367.7718444,363,117,94,94,0.12,0.0
1779237367.8718467,363,117,94,94,0.16,0.0
1779237367.9718535,363,117,94,94,0.19,0.0
1779237368.0718548,362,116,92,92,0.14,0.0
1779237368.171856,361,117,94,94,0.16,0.0
1779237368.2718537,363,117,94,94,0.17,0.0
1779237368.3718529,362,118,96,96,0.18,0.0
1779237368.4718459,363,117,94,94,0.17,0.0
1779237368.5724251,362,118,96,96,0.98,0.0
1779237368.6718395,364,118,96,96,0.11,0.0
1779237368.7718394,363,117,94,94,0.33,0.0
1779237368.8718023,363,117,94,94,0.16,0.0
1779237368.971851,363,117,94,94,0.16,0.0
1779237369.0718458,363,117,94,94,0.14,0.0
1779237369.1718369,362,116,96,96,0.16,0.0
1779237369.2718532,363,117,94,94,0.24,0.0
1779237369.371849,364,118,96,96,0.22,0.0
1779237369.471829,364,118,96,96,0.14,0.0
1779237369.571842,363,117,94,94,3.1,0.0
1779237369.6718268,364,116,96,96,0.14,0.0
1779237369.7718241,362,118,96,96,0.17,0.0
1779237369.8717802,363,117,94,94,0.25,0.0
1779237369.9718263,361,117,94,94,0.26,0.0
1779237370.0718522,359,115,94,94,1.38,0.0
1779237370.171842,359,115,94,94,0.2,0.0
1779237370.2718573,357,115,94,94,0.17,0.0
1779237370.3717687,356,112,96,96,0.16,0.0
1779237370.4718387,355,111,94,94,0.16,0.0
1779237370.571865,356,108,92,92,0.15,0.0
1779237370.671844,355,107,94,94,0.2,0.0
1779237370.7717924,356,106,96,96,0.16,0.0
1779237370.8718574,358,106,96,96,0.15,0.0
1779237370.971856,358,104,96,96,0.16,0.0
1779237371.0720696,359,105,94,94,0.16,0.0
1779237371.175628,358,106,96,96,0.19,0.0
1779237371.271859,358,106,96,96,0.17,0.0
1779237371.371848,357,107,94,94,0.15,0.0
1779237371.4727955,355,109,94,94,0.17,0.0
1779237371.5727744,357,109,98,98,0.18,0.0
1779237371.6738849,355,109,94,94,2.05,0.0
1779237371.7743647,355,109,94,94,0.17,0.0
1779237371.871842,355,109,94,94,0.14,0.0
1779237371.971847,354,108,96,96,0.22,0.0
1779237372.0718524,352,108,96,96,0.17,0.0
1779237372.171851,351,109,94,94,0.16,0.0
1779237372.2718494,352,108,96,96,0.17,0.0
1779237372.3718572,352,108,96,96,0.26,0.0
1779237372.4718566,352,108,96,96,0.21,0.0
1779237372.5718606,352,108,96,96,0.18,0.0
1779237372.6718605,354,108,96,96,5.08,0.0
1779237372.7718472,356,108,96,96,0.89,0.0
1779237372.8718634,356,106,96,96,0.18,0.0
1779237372.9718466,357,107,98,98,0.68,0.0
1779237373.0718482,358,108,96,96,1.32,0.0
1779237373.1718545,358,108,96,96,0.16,0.0
1779237373.2718444,359,109,98,98,4.89,0.0
1779237373.37185,360,108,96,96,1.5,0.0
1779237373.4718657,363,107,98,98,0.17,0.0
1779237373.5718508,364,106,96,96,0.18,0.0
1779237373.6718524,366,106,96,96,1.02,0.0
