timestamp,u,v,w,h,latency_ms,frame_drop
1779315989.4539995,335,147,91,91,2.5,0.0
1779315989.550734,335,148,91,91,0.41,0.0
1779315989.6507504,335,149,91,91,0.91,0.0
1779315989.7507358,335,150,91,91,1.03,0.0
1779315989.8507335,335,150,91,91,0.36,0.0
1779315989.9507601,335,151,91,91,0.39,0.0
1779315990.0507505,335,152,91,91,0.4,0.0
1779315990.1507456,334,153,92,92,0.21,0.0
1779315990.2507546,334,153,92,92,0.41,0.0
1779315990.3507638,333,154,92,92,3.67,0.0
1779315990.4507473,333,154,91,91,0.77,0.0
1779315990.5507357,333,155,91,91,0.32,0.0
1779315990.650746,332,155,91,91,0.81,0.0
1779315990.7507327,332,155,91,91,0.35,0.0
1779315990.850732,331,155,92,92,0.43,0.0
1779315990.950743,331,155,92,92,0.29,0.0
1779315991.0507267,331,156,92,92,4.3,0.0
1779315991.1507332,331,156,92,92,0.23,0.0
1779315991.2507265,331,156,92,92,0.29,0.0
1779315991.3507385,331,156,91,91,0.32,0.0
1779315991.4507275,331,157,91,91,4.21,0.0
1779315991.5509007,332,157,91,91,0.34,0.0
1779315991.6507297,332,157,91,91,0.34,0.0
1779315991.75075,332,157,91,91,0.28,0.0
1779315991.850747,332,158,91,91,0.31,0.0
1779315991.950764,332,157,91,91,0.3,0.0
1779315992.0507483,333,157,91,91,0.29,0.0
1779315992.1507456,333,157,90,90,0.25,0.0
1779315992.2507555,333,156,90,90,0.32,0.0
1779315992.3507407,334,155,90,90,0.26,0.0
1779315992.4507387,334,155,89,89,0.26,0.0
1779315992.5507345,334,154,89,89,0.27,0.0
1779315992.6507435,335,154,88,88,0.29,0.0
1779315992.7507565,335,153,88,88,0.31,0.0
1779315992.8507426,336,153,88,88,2.45,0.0
1779315992.9507554,336,153,88,88,0.34,0.0
1779315993.0507636,336,153,88,88,0.27,0.0
1779315993.150754,337,152,88,88,2.32,0.0
1779315993.2507455,337,152,88,88,0.32,0.0
1779315993.3507574,337,152,88,88,8.99,0.0
1779315993.4507287,337,153,88,88,0.24,0.0
1779315993.550724,337,153,89,89,0.28,0.0
1779315993.6507266,337,153,89,89,0.31,0.0
1779315993.750747,337,153,89,89,0.29,0.0
1779315993.8507438,338,153,89,89,0.31,0.0
1779315993.950733,338,153,89,89,0.28,0.0
1779315994.0507443,338,153,89,89,0.33,0.0
1779315994.1507552,338,153,89,89,0.26,0.0
1779315994.250749,338,153,89,89,0.54,0.0
1779315994.3507574,338,154,89,89,0.26,0.0
1779315994.4507413,338,154,89,89,0.28,0.0
1779315994.550738,338,154,89,89,0.35,0.0
1779315994.6507416,338,154,89,89,0.3,0.0
1779315994.7507362,339,154,89,89,0.27,0.0
1779315994.8507497,339,154,89,89,0.28,0.0
1779315994.9507604,339,154,89,89,0.4,0.0
1779315995.050752,339,154,89,89,0.28,0.0
1779315995.1507497,340,155,89,89,0.33,0.0
1779315995.2507472,340,155,88,88,0.28,0.0
1779315995.350759,340,155,88,88,0.29,0.0
1779315995.4507596,340,155,88,88,0.31,0.0
1779315995.5507412,339,155,88,88,0.31,0.0
1779315995.6507497,338,155,87,87,1.06,0.0
1779315995.750726,338,155,87,87,0.28,0.0
1779315995.8507335,338,155,87,87,0.31,0.0
1779315995.9507604,339,155,87,87,0.3,0.0
1779315996.0509806,339,155,86,86,0.36,0.0
1779315996.1507678,341,155,86,86,0.33,0.0
1779315996.2525935,342,156,86,86,8.5,0.0
1779315996.3507395,343,156,86,86,0.3,0.0
1779315996.4507349,345,156,86,86,0.29,0.0
1779315996.552898,346,157,86,86,0.34,0.0
1779315996.6507535,345,157,86,86,0.28,0.0
1779315996.7507448,345,157,86,86,0.32,0.0
1779315996.8507617,343,157,86,86,0.29,0.0
1779315996.9507773,342,157,86,86,0.35,0.0
1779315997.050769,340,157,87,87,0.38,0.0
1779315997.1507728,337,157,87,87,0.29,0.0
1779315997.2507272,336,156,87,87,0.34,0.0
1779315997.3507419,335,156,88,88,0.26,0.0
1779315997.450742,334,156,88,88,0.27,0.0
1779315997.5506675,332,155,88,88,0.31,0.0
1779315997.6507528,331,155,89,89,0.3,0.0
1779315997.7507317,330,155,89,89,0.37,0.0
1779315997.8507533,329,155,89,89,0.36,0.0
1779315997.950744,329,155,89,89,0.23,0.0
1779315998.0507433,329,155,89,89,0.22,0.0
1779315998.150732,329,155,89,89,0.31,0.0
1779315998.2507486,329,155,89,89,0.49,0.0
1779315998.350748,329,155,90,90,0.32,0.0
