timestamp,u,v,w,h,latency_ms,frame_drop
1779315989.408417,,,,,,0.0
1779315989.5024447,337,158,76,100,1.01,0.0
1779315989.6024885,337,158,76,100,1.01,0.0
1779315989.7024865,337,158,76,100,1.01,0.0
1779315989.8025014,337,158,76,100,1.01,0.0
1779315989.90248,335,156,76,99,0.37,0.0
1779315990.00248,335,156,76,99,0.37,0.0
1779315990.1024709,335,156,76,99,0.37,0.0
1779315990.202477,335,156,76,99,0.37,0.0
1779315990.3024774,334,156,77,99,1.61,0.0
1779315990.4024804,333,153,75,93,1.86,0.0
1779315990.5024514,333,153,75,94,11.21,0.0
1779315990.6024747,333,153,75,94,11.21,0.0
1779315990.7024715,333,153,75,94,11.21,0.0
1779315990.8024795,332,151,75,93,0.32,0.0
1779315990.9024963,332,151,75,93,0.32,0.0
1779315991.0024889,332,150,75,96,0.55,0.0
1779315991.1025002,332,149,75,97,8.38,0.0
1779315991.2024782,332,149,75,97,8.38,0.0
1779315991.302481,332,149,75,97,8.38,0.0
1779315991.402473,332,149,76,97,0.35,0.0
1779315991.5024786,332,152,75,94,0.41,0.0
1779315991.6024833,332,152,75,94,0.41,0.0
1779315991.7024822,332,152,75,94,0.37,0.0
1779315991.8024766,332,152,75,94,0.37,0.0
1779315991.9024768,332,152,75,94,0.37,0.0
1779315992.00251,332,152,75,94,0.37,0.0
1779315992.1024942,332,152,75,94,0.37,0.0
1779315992.2024202,332,152,75,94,0.37,0.0
1779315992.3024876,333,154,75,94,4.59,0.0
1779315992.4024627,333,154,75,94,4.59,0.0
1779315992.5049202,330,159,75,98,2.64,0.0
1779315992.6024592,330,159,75,98,2.64,0.0
1779315992.702477,330,159,75,98,2.64,0.0
1779315992.8024714,330,159,75,98,2.64,0.0
1779315992.9025292,330,159,75,98,2.64,0.0
1779315993.0024858,330,159,75,98,2.64,0.0
1779315993.1024969,330,159,75,98,2.64,0.0
1779315993.2024655,330,159,75,98,2.64,0.0
1779315993.302486,330,159,75,98,2.64,0.0
1779315993.402473,330,159,75,98,2.64,0.0
1779315993.502475,330,159,75,98,2.64,0.0
1779315993.6024897,330,159,75,98,2.64,0.0
1779315993.702462,330,159,75,98,2.64,0.0
1779315993.8024778,330,159,75,98,2.64,0.0
1779315993.9024882,330,159,75,98,2.64,0.0
1779315994.0024867,330,159,75,98,2.64,0.0
1779315994.1024902,330,159,75,98,2.64,0.0
1779315994.2024896,327,159,74,97,0.6,0.0
1779315994.3024871,327,159,74,97,0.6,0.0
1779315994.4024663,327,159,74,97,5.07,0.0
1779315994.502483,327,159,74,97,5.07,0.0
1779315994.6024957,326,159,75,97,3.7,0.0
1779315994.7024834,326,159,75,97,3.7,0.0
1779315994.8024712,326,160,75,98,0.29,0.0
1779315994.9024708,326,160,75,98,0.29,0.0
1779315995.0024753,329,160,74,98,0.34,0.0
1779315995.1024742,329,160,74,98,0.34,0.0
1779315995.202489,329,160,74,98,0.34,0.0
1779315995.3024626,329,160,74,98,0.48,0.0
1779315995.4024768,329,160,74,98,0.48,0.0
1779315995.503273,330,161,74,98,0.34,0.0
1779315995.6024275,330,161,74,98,0.34,0.0
1779315995.7024772,330,162,74,98,0.48,0.0
1779315995.8024752,330,162,74,98,0.48,0.0
1779315995.9024704,330,161,74,99,0.35,0.0
1779315996.002491,330,161,74,99,0.35,0.0
1779315996.1024692,330,161,74,99,0.35,0.0
1779315996.2024784,330,161,74,99,0.35,0.0
1779315996.3024688,330,161,75,98,4.25,0.0
1779315996.4024715,330,161,75,98,4.25,0.0
1779315996.5024903,330,161,75,98,4.25,0.0
1779315996.6024976,334,157,76,95,0.3,0.0
1779315996.7024868,334,157,76,95,0.3,0.0
1779315996.802484,334,157,76,95,0.3,0.0
1779315996.9024796,335,159,75,94,0.47,0.0
1779315997.002476,335,159,75,94,0.47,0.0
1779315997.1024816,336,158,74,93,0.36,0.0
1779315997.2024884,336,158,74,93,0.64,0.0
1779315997.3024826,336,158,74,93,0.64,0.0
1779315997.402474,337,159,74,93,4.65,0.0
1779315997.502489,337,159,74,93,4.65,0.0
1779315997.6024847,337,159,74,93,4.65,0.0
1779315997.70248,337,159,74,93,4.65,0.0
1779315997.8024719,337,159,74,93,4.65,0.0
1779315997.902482,335,160,73,90,0.55,0.0
1779315998.002481,335,160,73,90,0.55,0.0
1779315998.102477,335,160,73,90,0.55,0.0
1779315998.2024667,335,160,73,90,0.55,0.0
1779315998.3025,336,161,74,92,0.63,0.0
1779315998.402478,336,161,74,92,0.63,0.0
1779315998.502468,331,160,74,91,0.55,0.0
1779315998.602477,331,160,74,91,0.55,0.0
1779315998.7024858,331,160,74,91,0.55,0.0
1779315998.8024726,335,159,75,91,0.56,0.0
1779315998.9024935,335,159,75,91,0.56,0.0
1779315999.002458,334,158,73,89,0.58,0.0
1779315999.1024704,334,158,73,89,0.58,0.0
1779315999.2024782,334,158,73,89,0.58,0.0
1779315999.3024778,349,162,74,93,0.31,0.0
1779315999.4089446,349,162,74,93,0.31,0.0
1779315999.5024693,340,162,74,90,3.2,0.0
1779315999.6038377,338,162,74,90,0.64,0.0
1779315999.7024775,338,162,74,90,0.64,0.0
1779315999.8049302,325,160,75,94,2.53,0.0
1779315999.9024677,325,160,75,94,2.53,0.0
1779316000.0025198,325,160,75,94,2.53,0.0
1779316000.1024845,324,159,75,93,0.59,0.0
1779316000.2024822,324,159,74,93,0.62,0.0
1779316000.3024726,324,159,74,93,0.62,0.0
1779316000.4024804,324,159,74,93,0.62,0.0
1779316000.5024807,328,160,74,94,4.28,0.0
1779316000.6024792,328,160,74,94,4.28,0.0
1779316000.7025058,328,160,74,94,4.28,0.0
1779316000.8024905,328,160,74,96,0.58,0.0
1779316000.9024756,328,160,74,96,0.58,0.0
1779316001.002452,328,160,73,95,0.31,0.0
1779316001.1024764,328,160,73,95,0.31,0.0
1779316001.2024739,328,160,73,95,0.31,0.0
1779316001.3024793,325,160,76,93,0.35,0.0
1779316001.4024866,325,160,76,93,0.35,0.0
1779316001.502491,325,160,76,93,0.35,0.0
1779316001.6024864,325,160,76,93,0.35,0.0
1779316001.7024677,325,160,76,93,0.35,0.0
1779316001.8024845,323,160,75,92,0.55,0.0
1779316001.9024804,323,160,75,92,0.55,0.0
1779316002.0024796,308,158,74,93,0.49,0.0
1779316002.1024585,308,158,74,93,0.49,0.0
1779316002.2024674,278,159,77,97,0.54,0.0
1779316002.3024795,277,155,77,96,0.53,0.0
1779316002.4024873,277,155,77,96,0.53,0.0
1779316002.50248,277,155,77,96,0.53,0.0
1779316002.602454,277,155,77,96,0.53,0.0
1779316002.7024913,277,155,77,96,0.53,0.0
1779316002.8024676,277,155,77,96,0.53,0.0
1779316002.9024792,277,155,77,96,0.53,0.0
1779316003.0024693,277,155,77,96,0.53,0.0
