timestamp,u,v,w,h,latency_ms,frame_drop
1779315989.4152162,,,,,,0.0
1779315989.5049407,339,163,72,92,3767.36,0.0
1779315989.6049218,339,163,72,92,3767.36,0.0
1779315989.704915,339,163,72,92,3767.36,0.0
1779315989.8052678,338,163,73,103,3415.85,0.0
1779315989.905622,338,163,73,103,3415.85,0.0
1779315990.0049303,334,154,73,99,3165.35,0.0
1779315990.1049051,334,154,73,99,3165.35,0.0
1779315990.2049265,334,155,73,100,3336.4,0.0
1779315990.3049252,334,155,73,100,3336.4,0.0
1779315990.40491,334,155,73,100,3336.4,0.0
1779315990.5049274,334,155,73,100,3336.4,0.0
1779315990.604921,334,155,73,100,3336.4,0.0
1779315990.7049193,332,153,74,101,3141.11,0.0
1779315990.8049288,332,153,74,101,3141.11,0.0
1779315990.9049103,332,151,73,96,3353.41,0.0
1779315991.0049272,332,151,73,96,3353.41,0.0
1779315991.1049595,332,151,73,96,3353.41,0.0
1779315991.204917,332,151,73,96,3353.41,0.0
1779315991.3058484,332,151,74,99,3521.59,0.0
1779315991.4049067,332,151,74,99,3521.59,0.0
1779315991.5049224,332,151,74,99,3521.59,0.0
1779315991.6049244,332,151,74,99,3521.59,0.0
1779315991.7049072,332,151,74,99,3521.59,0.0
1779315991.8049026,332,153,73,100,3629.0,0.0
1779315991.9049056,332,153,73,100,3629.0,0.0
1779315992.0049312,332,154,73,102,3674.36,0.0
1779315992.1049156,332,154,73,102,3674.36,0.0
1779315992.2048965,332,154,73,102,3674.36,0.0
1779315992.3049138,332,154,73,102,3874.84,0.0
1779315992.4048939,332,154,73,102,3874.84,0.0
1779315992.5050032,332,154,73,102,3874.84,0.0
1779315992.6048975,333,155,73,101,3804.48,0.0
1779315992.704923,333,155,73,101,3804.48,0.0
1779315992.8049092,332,157,73,92,3277.26,0.0
1779315992.9049234,332,157,73,92,3277.26,0.0
1779315993.0049272,332,156,73,91,3462.38,0.0
1779315993.1049051,332,156,73,91,3462.38,0.0
1779315993.204948,330,157,73,89,3227.22,0.0
1779315993.3049219,329,162,72,99,3170.56,0.0
