timestamp,u,v,w,h,latency_ms,frame_drop
1779405096.9737725,,,,,,0.0
1779405097.0681932,,,,,,0.0
1779405097.168215,,,,,,0.0
1779405097.2682137,330,110,87,112,4327.36,0.0
1779405097.3681998,330,110,87,112,4327.36,0.0
1779405097.4682171,330,110,87,112,4327.36,0.0
1779405097.5682235,330,110,87,112,4327.36,0.0
1779405097.668228,330,110,87,112,4327.36,0.0
1779405097.7682061,363,116,86,115,4238.67,0.0
1779405097.8682027,363,116,86,115,4238.67,0.0
1779405097.968245,363,116,86,115,4238.67,0.0
1779405098.0682364,363,116,86,115,4238.67,0.0
1779405098.1682293,365,118,87,116,4568.16,0.0
1779405098.268229,365,118,87,116,4568.16,0.0
1779405098.368231,365,118,87,116,4568.16,0.0
1779405098.4682279,365,118,87,116,4568.16,0.0
1779405098.5689812,365,118,87,116,4568.16,0.0
1779405098.6682105,354,113,87,119,4605.83,0.0
1779405098.7682102,354,113,87,119,4605.83,0.0
1779405098.8682916,408,115,91,125,4151.87,0.0
1779405098.968223,408,115,91,125,4151.87,0.0
1779405099.0682359,408,115,91,125,4151.87,0.0
1779405099.168235,414,116,92,126,4375.67,0.0
1779405099.268225,414,116,92,126,4375.67,0.0
1779405099.3682067,414,116,92,126,4375.67,0.0
1779405099.4682279,414,116,92,126,4375.67,0.0
1779405099.5682144,438,119,92,125,4578.67,0.0
1779405099.6682186,438,119,92,125,4578.67,0.0
1779405099.76813,449,121,95,124,4229.33,0.0
1779405099.868228,449,121,95,124,4229.33,0.0
1779405099.9682026,449,121,95,124,4229.33,0.0
1779405100.0681975,449,121,95,124,4229.33,0.0
1779405100.1681976,449,121,95,124,4229.33,0.0
1779405100.2682025,449,121,95,124,4635.45,0.0
1779405100.368228,449,121,95,124,4635.45,0.0
1779405100.4681635,447,122,94,124,4557.5,0.0
1779405100.5682309,447,122,94,124,4557.5,0.0
1779405100.668197,447,122,94,124,4557.5,0.0
1779405100.7682307,356,114,88,120,3898.59,0.0
1779405100.868222,356,114,88,120,3898.59,0.0
1779405100.9682257,354,114,88,119,4057.31,0.0
1779405101.0682201,354,114,88,119,4057.31,0.0
1779405101.1682296,339,111,88,113,3941.91,0.0
1779405101.2682364,339,111,88,113,3941.91,0.0
1779405101.3682253,339,111,88,113,3941.91,0.0
1779405101.4682202,342,117,87,116,3264.38,0.0
1779405101.5682144,342,117,87,116,3264.38,0.0
1779405101.668223,343,118,88,116,3465.78,0.0
1779405101.7685156,343,118,88,116,3465.78,0.0
1779405101.8682199,344,116,87,112,3269.34,0.0
1779405101.968227,344,116,87,112,3269.34,0.0
1779405102.068225,344,116,87,112,3269.34,0.0
1779405102.1682081,345,118,88,112,3036.46,0.0
1779405102.268215,345,118,88,112,3036.46,0.0
1779405102.3682225,345,118,88,112,3036.46,0.0
1779405102.4682086,345,118,88,112,3286.25,0.0
1779405102.5682213,345,118,88,112,3286.25,0.0
1779405102.6682234,345,118,88,112,3286.25,0.0
1779405102.7682128,346,118,87,113,3308.5,0.0
1779405102.8682227,346,118,87,113,3308.5,0.0
1779405102.968253,346,118,87,113,3308.5,0.0
1779405103.0682487,346,118,87,113,3308.5,0.0
1779405103.1682253,347,118,87,115,2910.56,0.0
1779405103.2682142,347,118,87,115,2910.56,0.0
1779405103.3704998,347,118,87,115,2910.56,0.0
1779405103.4682217,347,118,87,114,3234.12,0.0
1779405103.5682344,347,118,87,114,3234.12,0.0
1779405103.6682408,347,118,87,114,3234.12,0.0
1779405103.7697973,347,118,87,114,3276.63,0.0
1779405103.8682177,347,118,87,114,3276.63,0.0
1779405103.9682279,347,118,87,114,3276.63,0.0
1779405104.0682986,347,118,87,114,3276.63,0.0
1779405104.1682196,347,118,87,114,3276.63,0.0
1779405104.2682278,347,119,86,113,3315.41,0.0
1779405104.3682003,347,119,86,113,3315.41,0.0
1779405104.468225,347,119,86,113,3315.41,0.0
1779405104.5681198,347,119,86,113,3315.41,0.0
1779405104.6682074,347,119,86,113,3315.41,0.0
1779405104.7685406,347,119,86,113,3790.73,0.0
1779405104.868238,347,119,86,113,3790.73,0.0
1779405104.9682188,347,119,86,113,3790.73,0.0
1779405105.0682106,347,119,86,113,3790.73,0.0
1779405105.1682158,347,119,86,112,4058.85,0.0
1779405105.2681956,347,119,86,112,4058.85,0.0
1779405105.3682103,347,119,86,112,4058.85,0.0
1779405105.4682243,347,119,87,112,3884.57,0.0
1779405105.5682309,347,119,87,112,3884.57,0.0
1779405105.668212,347,119,87,112,3884.57,0.0
1779405105.7682114,347,119,87,112,3884.57,0.0
1779405105.8681936,347,118,86,111,4222.51,0.0
1779405105.9682212,347,118,86,111,4222.51,0.0
1779405106.0682151,347,118,86,111,4222.51,0.0
1779405106.1692712,347,118,86,111,4222.51,0.0
1779405106.2682157,347,118,86,111,4222.51,0.0
1779405106.3682003,347,119,86,113,4509.92,0.0
1779405106.468223,347,119,86,113,4509.92,0.0
1779405106.5682344,347,119,86,113,4509.92,0.0
1779405106.6682148,347,119,86,113,4509.92,0.0
1779405106.7683735,346,119,87,112,4360.48,0.0
1779405106.868226,346,119,87,112,4360.48,0.0
1779405106.9682317,346,119,87,112,4539.9,0.0
1779405107.0682275,346,119,87,112,4539.9,0.0
1779405107.1682217,346,119,87,112,4539.9,0.0
1779405107.2682183,346,119,87,112,4539.9,0.0
1779405107.3682227,346,119,87,112,4539.9,0.0
1779405107.468225,346,119,87,112,4539.9,0.0
1779405107.5682223,347,119,88,114,4822.45,0.0
1779405107.6682315,347,119,88,114,4822.45,0.0
1779405107.7682502,347,119,88,114,4822.45,0.0
1779405107.86822,346,118,87,113,4427.0,0.0
1779405107.9682407,346,118,87,113,4427.0,0.0
1779405108.0682316,347,118,88,113,4621.22,0.0
1779405108.1684954,347,118,88,113,4621.22,0.0
1779405108.2682412,347,118,88,113,4621.22,0.0
1779405108.3682199,347,118,88,113,4621.22,0.0
1779405108.4682322,346,117,88,115,4773.66,0.0
1779405108.5682304,346,117,88,115,4773.66,0.0
1779405108.668226,346,117,88,115,4773.66,0.0
1779405108.7682538,349,104,89,116,4112.61,0.0
1779405108.8682568,349,104,89,116,4112.61,0.0
1779405108.9682157,349,104,89,116,4112.61,0.0
