timestamp,u,v,w,h,latency_ms,frame_drop
1779405097.030111,,,,,,0.0
1779405097.129957,,,,,,0.0
1779405097.2299643,366,161,87,122,4323.6,0.0
1779405097.329963,366,161,87,122,4323.6,0.0
1779405097.429982,366,161,87,122,4323.6,0.0
1779405097.529986,366,161,87,122,4323.6,0.0
1779405097.629957,366,161,87,122,4323.6,0.0
1779405097.729983,366,161,87,122,4323.6,0.0
1779405097.8299894,364,156,86,121,4233.06,0.0
1779405097.9299734,364,156,86,121,4233.06,0.0
1779405098.0299425,364,156,86,121,4233.06,0.0
1779405098.1299515,363,151,85,120,4567.98,0.0
1779405098.229959,363,151,85,120,4567.98,0.0
1779405098.3299708,363,151,85,120,4567.98,0.0
1779405098.4299679,363,151,85,120,4567.98,0.0
1779405098.5299692,363,151,85,120,4567.98,0.0
1779405098.6299748,362,146,85,120,4600.09,0.0
1779405098.729963,362,146,85,120,4600.09,0.0
1779405098.8299546,362,146,85,120,4600.09,0.0
1779405098.9299667,364,142,86,120,4151.72,0.0
1779405099.029948,364,142,86,120,4151.72,0.0
1779405099.1299558,367,139,86,121,4375.74,0.0
1779405099.229953,367,139,86,121,4375.74,0.0
1779405099.3299425,367,139,86,121,4375.74,0.0
1779405099.4300609,367,139,86,121,4375.74,0.0
1779405099.529964,372,135,87,121,4578.77,0.0
1779405099.6299582,372,135,87,121,4578.77,0.0
1779405099.7299607,372,135,87,121,4578.77,0.0
1779405099.8299615,377,133,88,121,4229.42,0.0
1779405099.92996,377,133,88,121,4229.42,0.0
1779405100.0299664,377,133,88,121,4229.42,0.0
1779405100.1299622,377,133,88,121,4229.42,0.0
1779405100.2299595,381,130,89,121,4635.52,0.0
1779405100.3299627,381,130,89,121,4635.52,0.0
1779405100.429975,381,130,89,121,4635.52,0.0
1779405100.5299644,386,128,90,122,4558.13,0.0
1779405100.62997,386,128,90,122,4558.13,0.0
1779405100.729958,384,126,89,121,3895.78,0.0
1779405100.829944,384,126,89,121,3895.78,0.0
1779405100.9299667,382,124,89,121,4057.17,0.0
1779405101.0299747,382,124,89,121,4057.17,0.0
1779405101.1299765,379,122,89,120,3942.05,0.0
1779405101.2299695,379,122,89,120,3942.05,0.0
1779405101.3299415,379,122,89,120,3942.05,0.0
1779405101.4323666,376,120,89,120,3264.2,0.0
1779405101.5328505,376,120,89,120,3264.2,0.0
1779405101.6299772,374,119,88,119,3463.6,0.0
1779405101.7299502,374,119,88,119,3463.6,0.0
1779405101.830004,372,118,88,118,3268.93,0.0
1779405101.929998,372,118,88,118,3268.93,0.0
1779405102.0299542,372,118,88,118,3268.93,0.0
1779405102.1299672,370,117,88,117,3036.57,0.0
1779405102.2299669,370,117,88,117,3036.57,0.0
1779405102.3300102,370,117,88,117,3036.57,0.0
1779405102.429989,368,116,88,117,3286.32,0.0
1779405102.5299773,368,116,88,117,3286.32,0.0
1779405102.62998,368,116,88,117,3286.32,0.0
1779405102.7299762,368,116,88,117,3286.32,0.0
1779405102.829987,366,114,87,116,3308.61,0.0
1779405102.9299765,366,114,87,116,3308.61,0.0
1779405103.0299702,366,114,87,116,3308.61,0.0
1779405103.1299682,365,113,87,115,2910.66,0.0
1779405103.2299905,365,113,87,115,2910.66,0.0
1779405103.3299675,365,113,87,115,2910.66,0.0
1779405103.4318182,363,112,87,115,3234.21,0.0
1779405103.5299716,363,112,87,115,3234.21,0.0
1779405103.6299865,363,112,87,115,3234.21,0.0
1779405103.7299612,362,112,87,115,3269.89,0.0
1779405103.8301117,362,112,87,115,3269.89,0.0
1779405103.9299495,362,112,87,115,3269.89,0.0
1779405104.0299454,362,112,87,115,3269.89,0.0
1779405104.1299112,362,112,87,115,3269.89,0.0
1779405104.229991,360,111,86,114,3315.48,0.0
1779405104.329968,360,111,86,114,3315.48,0.0
1779405104.4299474,360,111,86,114,3315.48,0.0
1779405104.5299644,360,111,86,114,3315.48,0.0
1779405104.6299696,360,111,86,114,3315.48,0.0
