stamp,person_id,c_h,c_r,M,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,bbox_u,bbox_v,bbox_w,bbox_h
1777790425.784235,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790425.784235,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790425.784235,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790425.784235,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790425.784235,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790425.784235,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.050896,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.050896,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.050896,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.050896,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.050896,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.050896,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.150900,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.150900,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.150900,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.317563,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.317563,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.317563,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.317563,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.317563,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.317563,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.417581,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.417581,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.417581,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.484246,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.484246,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.484246,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.584226,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.584226,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.584226,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.650885,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.650885,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.650885,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.850943,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.850943,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.850943,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.950899,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.950899,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.950899,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790426.950899,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790426.950899,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790426.950899,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.017565,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.017565,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.017565,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.217562,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.217562,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.217562,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.217562,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.217562,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.217562,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.384245,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.384245,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
