stamp,person_id,a_h,a_r,a_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778698748.587461,0,0.975888,0.999827,0.975720,1.0993,-0.0125,1.2491,0.000,-2.060,-169.116,0,0,304,234,96,111
1778698748.587461,1,0.954950,0.919299,0.877885,1.1539,-0.4967,1.3068,-0.000,-9.324,155.358,0,0,557,207,104,111
1778698748.587461,2,0.947318,0.900294,0.852865,0.9791,0.3990,1.3558,0.000,0.839,-139.481,0,0,49,161,99,125
1778698748.687551,0,0.976456,0.999827,0.976287,1.0993,-0.0125,1.2491,-0.000,-2.425,-169.623,0,0,304,234,96,113
1778698748.687551,1,0.952039,0.919299,0.875208,1.1568,-0.4980,1.3072,-0.000,-9.813,154.679,0,0,557,207,103,110
1778698748.687551,2,0.948860,0.900294,0.854253,0.9771,0.3981,1.3554,-0.000,1.234,-139.534,0,0,49,161,98,125
1778698748.787635,0,0.974812,0.999827,0.974644,1.0993,-0.0125,1.2491,0.000,-2.628,-169.229,0,0,304,234,96,113
1778698748.787635,1,0.953020,0.919299,0.876110,1.1539,-0.4967,1.3068,0.000,-9.612,154.553,0,0,557,207,103,111
1778698748.787635,2,0.948818,0.900294,0.854215,0.9791,0.3990,1.3558,0.000,1.111,-139.615,0,0,49,161,99,125
1778698748.787635,0,0.975967,0.999827,0.975798,1.0993,-0.0125,1.2491,0.000,-2.628,-169.229,0,0,304,234,96,113
1778698748.787635,1,0.953022,0.919299,0.876112,1.1539,-0.4967,1.3068,0.000,-9.612,154.553,0,0,557,207,104,110
1778698748.787635,2,0.947224,0.900294,0.852780,0.9791,0.3990,1.3558,0.000,1.111,-139.615,0,0,49,161,99,126
1778698748.987861,0,0.975909,0.999827,0.975740,1.0993,-0.0125,1.2491,0.000,-2.394,-169.403,0,0,304,234,96,113
1778698748.987861,1,0.953568,0.919299,0.876614,1.1539,-0.4967,1.3068,-0.000,-9.499,154.489,0,0,557,207,103,110
1778698748.987861,2,0.945131,0.900294,0.850896,0.9840,0.4014,1.3570,0.000,0.808,-139.021,0,0,49,161,99,128
1778698749.054609,0,0.975617,0.999827,0.975448,1.0993,-0.0125,1.2491,0.000,-2.108,-169.064,0,0,304,234,96,113
1778698749.054609,1,0.954898,0.919299,0.877837,1.1539,-0.4967,1.3068,0.000,-9.330,155.316,0,0,557,207,104,110
1778698749.054609,2,0.946272,0.900294,0.851923,0.9791,0.3990,1.3558,-0.000,0.853,-139.238,0,0,49,161,99,125
1778698749.121357,0,0.976586,0.999827,0.976418,1.0993,-0.0125,1.2491,0.000,-2.181,-169.456,0,0,304,234,96,111
1778698749.121357,1,0.951311,0.919299,0.874539,1.1539,-0.4967,1.3068,-0.000,-9.992,155.086,0,0,557,207,104,110
1778698749.121357,2,0.944761,0.900294,0.850563,0.9791,0.3990,1.3558,0.000,0.970,-138.824,0,0,49,161,99,126
1778698749.121357,0,0.976649,0.999827,0.976480,1.0993,-0.0125,1.2491,-0.000,-1.927,-169.267,0,0,304,234,96,113
1778698749.121357,1,0.952105,0.919299,0.875269,1.1539,-0.4967,1.3068,-0.000,-9.860,155.276,0,0,557,207,103,109
1778698749.121357,2,0.944266,0.900294,0.850117,0.9791,0.3990,1.3558,0.000,0.817,-138.828,0,0,49,161,99,125
1778698749.221455,0,0.975113,0.999827,0.974944,1.0993,-0.0125,1.2491,0.000,-2.461,-169.187,0,0,304,234,96,111
1778698749.221455,1,0.947854,0.919299,0.871361,1.1539,-0.4967,1.3068,0.000,-10.665,155.588,0,0,557,208,102,110
1778698749.221455,2,0.947515,0.900294,0.853042,0.9791,0.3990,1.3558,0.000,1.362,-139.143,0,0,49,161,99,126
1778698749.221455,0,0.975397,0.999827,0.975228,1.0993,-0.0125,1.2491,0.000,-2.461,-169.187,0,0,304,234,95,111
1778698749.221455,1,0.948971,0.919366,0.872451,1.1539,-0.4967,1.3068,0.000,-10.665,155.588,0,0,557,207,104,110
1778698749.221455,2,0.947769,0.900294,0.853271,0.9791,0.3990,1.3558,0.000,1.362,-139.143,0,0,49,161,99,126
1778698749.288195,0,0.975065,0.999827,0.974897,1.0993,-0.0125,1.2491,0.000,-2.855,-169.639,0,0,304,234,96,111
1778698749.288195,1,0.946953,0.919299,0.870532,1.1540,-0.4967,1.3049,0.000,-10.564,155.740,0,0,556,207,103,111
1778698749.288195,2,0.946659,0.900294,0.852271,0.9791,0.3990,1.3558,0.000,1.017,-139.449,0,0,49,161,99,126
1778698749.421672,0,0.974754,0.999827,0.974586,1.0993,-0.0125,1.2491,0.000,-2.931,-169.482,0,0,304,234,96,111
1778698749.421672,1,0.947346,0.919877,0.871442,1.1499,-0.4931,1.3062,-0.000,-10.714,155.184,0,0,556,207,103,111
1778698749.421672,2,0.946573,0.900294,0.852194,0.9791,0.3990,1.3558,0.000,1.070,-139.145,0,0,49,161,99,126
1778698749.555134,0,0.976762,0.999827,0.976593,1.0993,-0.0125,1.2491,-0.000,-2.303,-169.623,0,0,304,234,96,113
1778698749.555134,1,0.942485,0.919808,0.866905,1.1497,-0.4931,1.3081,0.000,-11.469,155.096,0,0,556,206,103,109
1778698749.555134,2,0.945891,0.900294,0.851580,0.9791,0.3990,1.3558,0.000,1.073,-138.994,0,0,49,161,99,126
1778698749.555134,0,0.974925,0.999827,0.974756,1.0993,-0.0125,1.2491,0.000,-2.859,-169.476,0,0,304,234,96,111
1778698749.555134,1,0.950536,0.919808,0.874310,1.1497,-0.4931,1.3081,0.000,-9.952,154.403,0,0,556,208,103,110
1778698749.555134,2,0.946713,0.900294,0.852320,0.9791,0.3990,1.3558,0.000,0.876,-139.318,0,0,49,161,99,128
1778698749.655241,0,0.976841,0.999827,0.976672,1.0993,-0.0125,1.2491,0.000,-2.302,-169.651,0,0,304,234,96,111
1778698749.655241,1,0.953364,0.919944,0.877042,1.1501,-0.4931,1.3043,-0.000,-9.584,154.280,0,0,556,207,103,109
1778698749.655241,2,0.947084,0.900294,0.852654,0.9791,0.3990,1.3558,0.000,0.976,-139.327,0,0,49,161,99,128
1778698749.788724,0,0.976148,0.999827,0.975979,1.0993,-0.0125,1.2491,0.000,-2.787,-169.846,0,0,304,234,96,111
1778698749.788724,1,0.945140,0.919877,0.869413,1.1499,-0.4931,1.3062,0.000,-11.086,154.958,0,0,556,207,103,109
1778698749.788724,2,0.947637,0.900294,0.853151,0.9791,0.3990,1.3558,-0.000,1.226,-139.267,0,0,49,161,99,128
1778698749.855461,0,0.978035,0.999830,0.977869,1.0995,-0.0125,1.2473,0.000,-2.332,-170.024,0,0,304,235,96,110
1778698749.855461,1,0.944302,0.919877,0.868641,1.1499,-0.4931,1.3062,0.000,-11.223,154.861,0,0,556,207,103,109
