stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778699018.533675,0,0.986428,0.999895,0.986324,1.1089,-0.0178,1.2538,0.000,0.729,-171.422,0,0,307,232,96,111
1778699018.533675,1,0.969803,0.921595,0.893766,1.1161,-0.4741,1.2824,-0.000,-6.911,154.504,0,0,554,217,107,117
1778699018.533675,2,0.962935,0.894045,0.860907,0.9479,0.3987,1.3565,0.000,0.120,-143.962,0,0,40,156,81,130
1778699018.633785,0,0.988216,0.999895,0.988112,1.1089,-0.0178,1.2538,0.000,1.147,-171.919,0,0,307,232,96,111
1778699018.633785,1,0.972897,0.921595,0.896618,1.1161,-0.4741,1.2824,0.000,-6.083,154.172,0,0,554,217,107,117
1778699018.633785,2,0.958113,0.893869,0.856428,0.9477,0.3987,1.3581,-0.000,0.035,-142.621,0,0,40,155,81,132
1778699018.700523,0,0.987534,0.999895,0.987430,1.1089,-0.0178,1.2538,0.000,1.183,-171.593,0,0,307,232,96,111
1778699018.700523,1,0.975937,0.921595,0.899419,1.1161,-0.4741,1.2824,0.000,-5.455,155.009,0,0,554,217,107,117
1778699018.700523,2,0.957543,0.893869,0.855918,0.9477,0.3987,1.3581,0.000,-0.504,-143.077,0,0,40,155,81,132
1778699018.700523,0,0.987331,0.999895,0.987227,1.1089,-0.0178,1.2538,0.000,1.244,-171.467,0,0,306,232,95,111
1778699018.700523,1,0.974743,0.921595,0.898319,1.1161,-0.4741,1.2824,-0.000,-5.706,154.652,0,0,554,217,107,117
1778699018.700523,2,0.964170,0.893869,0.861842,0.9477,0.3987,1.3581,-0.000,-0.392,-145.230,0,0,40,156,81,130
1778699018.800635,0,0.987755,0.999870,0.987627,1.1089,-0.0160,1.2538,0.000,0.970,-171.732,0,0,307,232,96,111
1778699018.800635,1,0.972718,0.921595,0.896453,1.1161,-0.4741,1.2824,0.000,-5.955,153.470,0,0,555,217,108,117
1778699018.800635,2,0.960355,0.894045,0.858601,0.9449,0.3973,1.3558,0.000,-0.173,-143.467,0,0,40,155,81,132
1778699018.867371,0,0.986679,0.999895,0.986575,1.1089,-0.0178,1.2538,-0.000,1.059,-171.309,0,0,307,232,96,111
1778699018.867371,1,0.972906,0.921018,0.896064,1.1161,-0.4760,1.2824,0.000,-6.044,153.903,0,0,554,217,107,117
1778699018.867371,2,0.963632,0.893869,0.861361,0.9448,0.3973,1.3573,0.000,-0.259,-144.830,0,0,40,156,81,130
1778699019.000848,0,0.987669,0.999870,0.987541,1.1089,-0.0160,1.2538,0.000,1.085,-171.616,0,0,306,232,95,110
1778699019.000848,1,0.973806,0.921595,0.897455,1.1161,-0.4741,1.2824,0.000,-5.768,153.826,0,0,554,217,107,117
1778699019.000848,2,0.963900,0.893869,0.861601,0.9477,0.3987,1.3581,-0.000,0.334,-144.130,0,0,40,155,81,132
1778699019.000848,0,0.986936,0.999870,0.986808,1.1089,-0.0160,1.2538,0.000,1.085,-171.616,0,0,306,232,95,111
1778699019.000848,1,0.974640,0.921595,0.898223,1.1161,-0.4741,1.2824,0.000,-5.768,153.826,0,0,554,217,107,117
1778699019.000848,2,0.964411,0.893869,0.862057,0.9477,0.3987,1.3581,-0.000,0.334,-144.130,0,0,40,155,81,133
1778699019.167682,0,0.987509,0.999870,0.987381,1.1119,-0.0159,1.2541,-0.000,0.832,-171.719,0,0,306,232,95,111
