stamp,person_id,A_h,A_r,A_m,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,ptu_blind,bbox_u,bbox_v,bbox_w,bbox_h
1778096827.892460,1,0.966801,0.712816,0.689151,1.0520,-0.1319,1.5484,0.000,7.478,176.712,0,0,369,127,96,113
1778096827.892460,1,0.965533,0.713651,0.689053,1.0520,-0.1319,1.5484,0.000,7.478,176.712,0,0,368,128,95,114
1778096827.925829,1,0.959847,0.713353,0.684710,1.0557,-0.1323,1.5499,-0.000,7.224,176.903,0,0,368,128,95,111
1778096827.959190,1,0.955963,0.714189,0.682738,1.0523,-0.1300,1.5466,-0.000,5.909,176.996,0,0,369,129,96,111
1778096828.025922,1,0.954684,0.713793,0.681447,1.0527,-0.1319,1.5448,-0.000,4.668,176.034,0,0,369,129,96,111
1778096828.059291,1,0.958530,0.713793,0.684192,1.0527,-0.1319,1.5448,-0.000,5.525,176.807,0,0,368,129,95,113
1778096828.092660,1,0.956697,0.714679,0.683731,1.0565,-0.1304,1.5463,-0.000,5.058,176.064,0,0,368,129,95,111
1778096828.092660,1,0.957790,0.714679,0.684512,1.0565,-0.1304,1.5463,-0.000,5.058,176.064,0,0,368,130,95,110
1778096828.126037,1,0.958204,0.715168,0.685277,1.0565,-0.1304,1.5463,-0.000,5.370,176.845,0,0,368,130,95,110
1778096828.192775,1,0.960101,0.714331,0.685830,1.0530,-0.1300,1.5430,0.000,5.757,176.931,0,0,368,130,95,110
1778096828.226144,1,0.958603,0.715168,0.685563,1.0568,-0.1304,1.5445,0.000,5.330,175.931,0,0,368,129,95,111
1778096828.259518,1,0.961372,0.715926,0.688271,1.0621,-0.1310,1.5486,0.000,6.027,176.232,0,0,368,130,95,110
1778096828.259518,1,0.960099,0.715794,0.687233,1.0621,-0.1310,1.5486,0.000,6.027,176.232,0,0,367,129,95,110
1778096828.292892,1,0.959590,0.715975,0.687043,1.0597,-0.1307,1.5456,0.000,5.752,176.895,0,0,368,130,95,110
1778096828.326262,1,0.959619,0.715794,0.686890,1.0621,-0.1291,1.5486,0.000,5.634,176.069,0,0,368,129,96,111
1778096828.393001,1,0.957804,0.715926,0.685716,1.0597,-0.1307,1.5456,0.000,5.515,175.679,0,0,368,130,96,111
1778096828.426369,1,0.960288,0.715926,0.687495,1.0621,-0.1310,1.5486,-0.000,5.814,176.342,0,0,368,129,96,113
1778096828.426369,1,0.962789,0.715303,0.688686,1.0621,-0.1310,1.5486,-0.000,5.814,176.342,0,0,368,130,96,111
1778096828.459738,1,0.963724,0.715168,0.689225,1.0593,-0.1307,1.5474,-0.000,6.314,176.119,0,0,368,130,96,111
1778096828.493108,1,0.963140,0.715168,0.688808,1.0568,-0.1304,1.5445,-0.000,6.452,176.412,0,0,368,130,96,114
1778096828.559846,1,0.964077,0.715168,0.689478,1.0568,-0.1304,1.5445,0.000,6.678,177.362,0,0,367,130,97,113
1778096828.559846,1,0.965391,0.716466,0.691670,1.0568,-0.1304,1.5445,0.000,6.678,177.362,0,0,367,130,96,113
1778096828.626580,1,0.967589,0.715843,0.692641,1.0597,-0.1288,1.5456,-0.000,7.434,177.265,0,0,367,131,96,114
1778096828.659941,1,0.968976,0.715707,0.693503,1.0572,-0.1286,1.5427,-0.000,7.692,177.427,0,0,367,131,96,114
1778096828.693310,1,0.971161,0.715707,0.695067,1.0572,-0.1286,1.5427,0.000,8.272,177.678,0,0,367,131,96,111
1778096828.726685,1,0.973061,0.715707,0.696427,1.0572,-0.1286,1.5427,0.000,8.875,178.181,0,0,366,131,96,111
1778096828.760024,1,0.974047,0.715755,0.697180,1.0572,-0.1267,1.5427,0.000,9.187,178.470,0,0,366,131,96,111
1778096828.793392,1,0.972683,0.715755,0.696203,1.0572,-0.1267,1.5427,0.000,8.901,178.708,0,0,366,131,96,111
1778096828.826761,1,0.972565,0.715755,0.696119,1.0572,-0.1267,1.5427,-0.000,8.904,178.816,0,0,366,131,96,111
1778096828.826761,1,0.976313,0.715755,0.698801,1.0572,-0.1267,1.5427,-0.000,8.904,178.816,0,0,366,131,96,110
1778096828.893501,1,0.977311,0.715755,0.699516,1.0572,-0.1267,1.5427,0.000,10.023,178.285,0,0,366,131,96,110
1778096828.926871,1,0.977132,0.714916,0.698568,1.0534,-0.1264,1.5412,0.000,9.925,178.119,0,0,366,130,96,111
