x_m,y_m,w_m,h_m,x_f,y_f,w_f,h_f
477,211,18,12,477,211,18,12
477,212,18,12,477,211.085,18,12
476,212,18,12,476.92,211.159,18,12
475,212,17,12,476.772,211.225,17.9234,12
475,211,17,13,476.641,211.209,17.8554,12.0731
475,211,17,13,476.523,211.195,17.7938,12.1391
475,210,17,13,476.412,211.114,17.7362,12.2007
475,210,17,13,476.305,211.037,17.6811,12.2594
476,210,17,13,476.271,210.962,17.6272,12.3167
478,209,16,12,476.383,210.827,17.5141,12.298
478,208,17,13,476.486,210.633,17.4737,12.3483
479,207,17,12,476.649,210.388,17.4373,12.3289
480,204,16,12,476.876,209.93,17.3258,12.3142
477,203,17,13,476.893,209.419,17.2889,12.3666
475,203,17,12,476.77,208.952,17.2602,12.3457
472,203,17,13,476.44,208.457,17.2235,12.3984
468,205,17,12,475.815,208.102,17.1864,12.3789
466,205,16,12,475.099,207.836,17.0935,12.355
461,205,17,12,473.979,207.5,17.061,12.3354
460,204,16,13,472.904,207.185,16.9721,12.3864
458,205,17,13,471.647,206.898,16.9495,12.4388
459,205,16,12,470.471,206.612,16.85,12.4143
457,206,17,12,469.162,206.417,16.832,12.3893
457,206,17,12,467.899,206.239,16.8171,12.364
457,207,17,12,466.874,206.224,16.8172,12.3378
458,207,16,12,465.796,206.141,16.7241,12.3142
458,207,16,12,464.961,206.129,16.6502,12.2908
458,207,17,12,464.243,206.134,16.6627,12.2692
459,207,16,12,463.392,206.066,16.5795,12.2486
459,208,17,12,462.768,206.132,16.5911,12.2291
460,208,17,9,462.348,206.215,16.6073,11.9861
461,208,16,9,462.034,206.292,16.5489,11.7623
462,208,17,12,461.527,206.299,16.5488,11.7597
464,208,17,12,461.249,206.321,16.553,11.7598
465,208,16,12,461.265,206.388,16.4948,11.7677
466,208,16,12,461.397,206.459,16.4441,11.7766
466,208,17,12,461.301,206.48,16.4535,11.7769
467,208,17,12,461.304,206.505,16.4642,11.778
467,208,17,12,461.501,206.569,16.4879,11.7861
467,208,17,12,461.514,206.594,16.4985,11.7875
467,208,17,12,461.551,206.624,16.5105,11.7897
468,208,16,12,461.691,206.658,16.4474,11.7929
468,207,16,13,461.97,206.645,16.3992,11.8762
468,207,16,13,462.113,206.606,16.3432,11.952
468,207,16,12,462.234,206.566,16.2872,11.9489
468,207,16,12,462.393,206.535,16.2371,11.9467
468,207,16,12,462.658,206.534,16.2027,11.9472
467,207,17,12,462.727,206.507,16.2334,11.9453
