x_m,y_m,w_m,h_m,x_f,y_f,w_f,h_f
72,10,66,21,71.0918,10.9082,64.1836,22.8164
87,8,72,17,72.4485,10.6601,64.8504,22.3202
95,8,69,16,74.2498,10.4474,65.1827,21.815
100,8,66,16,76.1981,10.2617,65.2471,21.3741
119,8,55,16,79.3395,10.0932,64.5097,20.9743
139,10,56,20,83.6424,10.08,63.9029,20.8901
159,12,63,25,89.0663,10.2075,63.8241,21.1608
178,14,57,29,95.5484,10.4681,63.3312,21.6972
190,19,54,29,102.221,11.0509,62.6798,22.1972
201,24,55,28,109.112,11.923,62.1445,22.5933
211,28,53,28,116.194,12.9974,61.5145,22.9626
221,29,54,29,123.499,14.0708,60.9865,23.3742
237,36,55,28,132.285,15.6349,60.4903,23.7364
243,37,53,27,140.316,17.1167,59.9421,23.9844
249,41,51,27,148.348,18.784,59.2909,24.2207
254,42,49,27,156.207,20.4192,58.5507,24.4417
263,48,45,25,165.654,22.5898,57.4706,24.5683
270,54,44,25,175.534,25.1738,56.3221,24.6909
277,57,44,25,185.709,27.9456,55.1881,24.8053
280,61,44,25,194.094,30.5977,54.2425,24.8686
281,65,43,24,203.224,33.6404,53.1678,24.8829
284,70,43,26,211.948,36.8849,52.1577,25.032
287,76,42,26,221.403,40.6766,51.0257,25.1935
288,77,41,25,228.677,43.9294,50.0522,25.2328
291,86,41,26,237.797,48.2513,48.9189,25.3848
293,87,41,25,244.332,51.8066,48.0779,25.407
298,91,40,25,253.358,56.2447,46.9424,25.4738
301,94,39,26,260.686,60.2687,45.9414,25.5838
308,96,40,26,268.445,64.3469,45.037,25.6928
312,98,40,24,274.19,67.7049,44.3889,25.611
316,100,39,26,280.731,71.2982,43.6129,25.6982
320,102,39,26,286.516,74.5837,42.956,25.7691
325,104,40,25,295.002,78.8326,42.1189,25.8045
329,105,41,25,302.906,82.8059,41.453,25.8277
332,106,40,25,308.412,85.8063,40.9852,25.8163
335,110,40,25,316.442,89.9697,40.2678,25.8412
336,111,40,25,324.303,94.0989,39.5748,25.8639
339,113,42,25,331.708,98.0906,39.1104,25.879
341,114,42,24,335.257,100.466,39.0401,25.7709
345,116,42,24,341.785,104.05,38.6849,25.702
346,116,42,24,345.451,106.354,38.6036,25.6096
349,118,41,20,351.149,109.533,38.2557,25.2374
350,118,41,21,354.72,111.728,38.1082,24.948
352,118,40,21,357.469,113.456,37.9653,24.6767
353,119,41,24,363.229,116.509,37.6134,24.6512
356,121,43,24,368.584,119.423,37.4647,24.6247
357,122,42,24,371.258,121.164,37.475,24.5911
357,124,43,24,373.246,122.703,37.6001,24.5585
358,126,42,24,378.125,125.622,37.3914,24.5359
358,126,41,21,379.637,126.977,37.3918,24.2935
358,131,42,24,383.518,129.738,37.2536,24.2799
358,131,42,24,384.636,131.165,37.3386,24.2639
356,134,41,24,388.447,134.093,37.1079,24.2518
353,136,42,21,391.413,136.835,36.999,24.0251
351,137,42,21,391.563,138.283,37.1031,23.8122
348,138,42,21,391.37,139.634,37.2102,23.6148
346,139,42,24,391.149,141.006,37.3023,23.6326
342,140,41,24,390.934,142.489,37.3015,23.6487
336,142,44,25,391.669,144.738,37.3923,23.7272
332,143,43,24,390.998,146.362,37.5013,23.7383
325,145,45,24,390.624,148.449,37.68,23.7474
322,146,43,24,388.646,149.688,37.8307,23.7589
