Time,MarkerID,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241718.62073,0,-0.283745,-0.345655,5.453,2.88136,1.03763,0.265447
1770241718.65377,0,-0.283277,-0.345085,5.444,2.8733,1.03716,0.269498
1770241718.73392,0,-0.283225,-0.345021,5.443,2.8724,1.03711,0.269948
1770241776.00049,1,-0.282913,-0.344641,5.437,2.86703,1.03679,0.272649
1770241718.85814,1,-0.282861,-0.344578,5.436,2.86614,1.03674,0.273099
1770241718.78811,0,-0.282549,-0.344197,5.43,2.86077,1.03642,0.2758
1770241718.68789,0,-0.282497,-0.344134,5.429,2.85987,1.03637,0.27625
1770241718.82062,0,-0.28182,-0.34331,5.416,2.84823,1.03568,0.282102
1770241718.75641,0,-0.281768,-0.343246,5.415,2.84734,1.03563,0.282552
1770241718.9835,0,-0.281612,-0.343056,5.412,2.84465,1.03547,0.283902
1770241718.89852,0,-0.280623,-0.341852,5.393,2.82765,1.03447,0.292455
1770241718.92164,0,-0.280467,-0.341662,5.39,2.82496,1.03431,0.293805
1770241718.9553,0,-0.279843,-0.340901,5.378,2.81422,1.03368,0.299207
1770241775.96796,1,-0.278022,-0.338683,5.343,2.78289,1.03183,0.314961
1770241719.07816,0,-0.275836,-0.33602,5.301,2.74529,1.02961,0.333867
1770241719.04931,0,-0.275056,-0.335069,5.286,2.73186,1.02882,0.340618
1770241775.93463,1,-0.274951,-0.334943,5.284,2.73007,1.02872,0.341519
1770241775.89858,1,-0.271933,-0.331266,5.226,2.67815,1.02566,0.367626
1770241780.01696,0,-3.60809,0.133924,5.478,2.65818,4.3618,-0.161152
1770241719.11954,0,-0.270633,-0.329681,5.201,2.65577,1.02434,0.378879
1770241719.20313,1,-0.268967,-0.327653,5.169,2.62713,1.02265,0.393284
1770241719.15341,0,-0.268655,-0.327273,5.163,2.62176,1.02234,0.395984
1770241775.85384,1,-0.268031,-0.326512,5.151,2.61101,1.0217,0.401386
1770241775.81259,1,-0.267719,-0.326132,5.145,2.60564,1.02139,0.404087
1770241775.76388,1,-0.263712,-0.321251,5.068,2.53672,1.01732,0.438747
1770241775.73948,1,-0.261943,-0.319096,5.034,2.50628,1.01553,0.454051
1770241775.70136,1,-0.261006,-0.317955,5.016,2.49017,1.01458,0.462153
1770241775.66613,1,-0.259809,-0.316497,4.993,2.46958,1.01337,0.472506
1770241775.63028,1,-0.259653,-0.316307,4.99,2.46689,1.01321,0.473857
1770241775.58589,1,-0.256999,-0.313074,4.939,2.42124,1.01052,0.496813
1770241775.54598,1,-0.256531,-0.312503,4.93,2.41318,1.01005,0.500864
1770241719.28871,0,-0.254554,-0.310095,4.892,2.37917,1.00804,0.517969
1770241775.49865,1,-0.253305,-0.308573,4.868,2.35768,1.00678,0.528772
1770241775.47093,1,-0.252837,-0.308003,4.859,2.34963,1.0063,0.532824
1770241719.3218,0,-0.252264,-0.307305,4.848,2.33978,1.00572,0.537775
1770241719.35452,1,-0.25112,-0.305911,4.826,2.32009,1.00456,0.547678
1770241775.4232,1,-0.250391,-0.305023,4.812,2.30755,1.00382,0.55398
1770241775.38612,1,-0.249507,-0.303946,4.795,2.29233,1.00292,0.561632
1770241719.46613,0,-0.24857,-0.302805,4.777,2.27622,1.00198,0.569734
1770241775.34678,1,-0.247997,-0.302108,4.766,2.26638,1.0014,0.574685
