timestamp,Distance_Z_Avg,marker1_x,marker1_y,marker1_z,marker2_x,marker2_y,marker2_z,Length_Measured,absolute_error_m,relative_error_percent
1769451202.09755,5.535169,0.477099,0.40698,5.5105,0.20752,0.250872,5.514667,0.311544,0.011544,3.848075
1769451202.16567,5.527646,0.478942,0.401364,5.502667,0.207257,0.250554,5.507667,0.310776,0.010776,3.592111
1769451202.18972,5.521951,0.478272,0.400808,5.495,0.207118,0.250387,5.504,0.310212,0.010212,3.404132
1769451202.22753,5.532667,0.479403,0.401756,5.508,0.207433,0.250766,5.512334,0.311102,0.011102,3.700703
1769451202.26415,5.533005,0.47955,0.401876,5.509667,0.207394,0.25072,5.511334,0.311319,0.011319,3.772922
1769451202.33778,5.531653,0.478968,0.401392,5.503,0.207546,0.250902,5.515334,0.310595,0.010595,3.531649
1769451202.35698,5.530664,0.479432,0.401781,5.508334,0.20727,0.250568,5.508,0.311349,0.011349,3.782941
1769451202.39571,5.53133,0.479347,0.401706,5.507334,0.207358,0.250674,5.510334,0.311124,0.011124,3.708017
1769451202.44139,5.532172,0.479609,0.401926,5.510334,0.207307,0.250615,5.509,0.311521,0.011521,3.840344
1769451202.50402,5.526479,0.478997,0.401416,5.503334,0.207144,0.250416,5.504667,0.310977,0.010977,3.659078
1769451202.52665,5.528488,0.479232,0.401607,5.506,0.207194,0.250477,5.506,0.311199,0.011199,3.73288
1769451202.56479,5.529162,0.479434,0.401777,5.508334,0.207157,0.250433,5.505,0.311531,0.011531,3.843611
1769451202.63414,5.529325,0.479289,0.401656,5.506667,0.207232,0.250523,5.507,0.311217,0.011217,3.739137
1769451202.65532,5.532236,0.476707,0.406647,5.506,0.207471,0.250811,5.513334,0.311171,0.011171,3.723578
1769451202.69306,5.530667,0.479551,0.401877,5.509667,0.207219,0.250508,5.506667,0.311586,0.011586,3.862059
1769451202.73189,5.536519,0.479841,0.402121,5.513,0.207533,0.250888,5.515,0.311492,0.011492,3.830687
1769451202.766,5.528314,0.478972,0.401388,5.503,0.207293,0.2506,5.508667,0.31077,0.01077,3.5901
1769451202.80256,5.529828,0.479375,0.40173,5.507667,0.207231,0.250523,5.507,0.31133,0.01133,3.776628
