Time,Cam_X,Cam_Y,Cam_Z,Map_X,Map_Y,Map_Z
1770241726.298,1.52839,-0.561396,3.064,0.928594,-0.999227,2.11309
1770241726.16614,1.54319,-0.554885,3.149,1.04105,-0.992154,2.15338
1770241725.98081,1.53618,-0.523633,3.3,1.22122,-0.99012,2.17452
1770241726.07197,1.54068,-0.559995,3.178,1.07584,-0.988441,2.16991
1770241726.25239,1.52839,-0.561396,3.064,0.93759,-0.988236,2.11972
1770241726.16621,1.52898,-0.549775,3.12,1.01255,-0.978789,2.1377
1770241726.07189,1.54068,-0.559995,3.178,1.08444,-0.976433,2.17799
1770241726.25232,1.5261,-0.561105,3.092,0.978595,-0.976157,2.13795
1770241726.25237,1.51228,-0.556024,3.064,0.950389,-0.964332,2.12122
1770241758.75107,1.12225,-0.342692,2.984,0.777413,-0.869088,1.82106
1770241758.751,1.11247,-0.339707,2.958,0.760864,-0.84726,1.81516
1770241759.46713,0.991173,-0.362624,3.064,0.842789,-0.844068,1.85957
1770241759.51158,0.980429,-0.362624,3.064,0.846763,-0.835312,1.86073
1770241759.55749,0.980429,-0.362624,3.064,0.846763,-0.835312,1.86073
1770241759.55754,0.969684,-0.35188,3.064,0.852997,-0.826472,1.85005
1770241759.60297,0.969684,-0.35188,3.064,0.852997,-0.826472,1.85005
1770241758.66417,1.10307,-0.336836,2.933,0.745169,-0.826075,1.80949
1770241758.61913,1.09279,-0.32655,2.933,0.754221,-0.81441,1.79927
1770241759.69025,0.942823,-0.357252,3.064,0.865689,-0.801931,1.85615
1770241759.6903,0.942823,-0.357252,3.064,0.866786,-0.800159,1.85823
1770241758.61907,1.0825,-0.321408,2.933,0.766106,-0.799383,1.79416
1770241759.69032,0.942823,-0.357252,3.064,0.867879,-0.798386,1.86031
1770241758.57376,1.0825,-0.321408,2.933,0.771148,-0.794774,1.79416
1770241758.52806,1.0825,-0.321408,2.933,0.774015,-0.791844,1.79509
1770241758.52803,1.0825,-0.321408,2.933,0.775059,-0.790283,1.79695
